,,,SolarPV_01,BESS_01,AEL_01,PEMEL_01,HEMEL_01,H2Tank_01
period1,sc01,t1420, 0.000008491664 ,,,,,
period1,sc01,t1421, 0.000011757692 ,,,,,
period1,sc01,t1422, 0.00001611239 ,,,,,
period1,sc01,t1423, 0.000075118578 ,,,,,
period1,sc01,t1424, 0.06667263564 ,,,,,
period1,sc01,t1425, 1.4617160478 ,,,,,
period1,sc01,t1426, 5.7181566762 ,,,,,
period1,sc01,t1427, 11.2930263 ,,,,,
period1,sc01,t1428, 15.850215582 ,,,,,
period1,sc01,t1429, 18.463192398 ,,,,,
period1,sc01,t1430, 19.75228596 ,,,,,
period1,sc01,t1431, 19.144276194 ,,,,,
period1,sc01,t1432, 17.444297088 ,,,,,
period1,sc01,t1433, 14.060355456 ,,,,,
period1,sc01,t1434, 8.579710656 ,,,,,
period1,sc01,t1435, 2.068445523 ,,,,,
period1,sc01,t1436, 0.00048990376 ,,,,,
period1,sc01,t1437, 0.000029176492 ,,,,,
period1,sc01,t1438, 0.0000261282 ,,,,,
period1,sc01,t1439, 0.0000174188 ,,,,,
period1,sc01,t1440, 0.000007838462 ,,,,,
period1,sc01,t1441, 0.000008056196 ,,,,,
period1,sc01,t1442, 0.000010886752 ,,,,,
period1,sc01,t1443, 0.000008273932 ,,,,,
period1,sc01,t1444, 0.000011539956 ,,,,,
period1,sc01,t1445, 0.000021773502 ,,,,,
period1,sc01,t1446, 0.000038974568 ,,,,,
period1,sc01,t1447, 0.000096021136 ,,,,,
period1,sc01,t1448, 0.08472069006 ,,,,,
period1,sc01,t1449, 2.538230568 ,,,,,
period1,sc01,t1450, 8.160856008 ,,,,,
period1,sc01,t1451, 12.727405716 ,,,,,
period1,sc01,t1452, 16.019402208 ,,,,,
period1,sc01,t1453, 17.926695522 ,,,,,
period1,sc01,t1454, 18.845957472 ,,,,,
period1,sc01,t1455, 18.286284882 ,,,,,
period1,sc01,t1456, 16.731336882 ,,,,,
period1,sc01,t1457, 13.367311476 ,,,,,
period1,sc01,t1458, 8.179838154 ,,,,,
period1,sc01,t1459, 1.9047523476 ,,,,,
period1,sc01,t1460, 0.000386479632 ,,,,,
period1,sc01,t1461, 0.00003266025 ,,,,,
period1,sc01,t1462, 0.000024168584 ,,,,,
period1,sc01,t1463, 0.000017201066 ,,,,,
period1,sc01,t1464, 0.000010669014 ,,,,,
period1,sc01,t1465, 0.000007620724 ,,,,,
period1,sc01,t1466, 0.000009580342 ,,,,,
period1,sc01,t1467, 0.000010015812 ,,,,,
period1,sc01,t1468, 0.000007838462 ,,,,,
period1,sc01,t1469, 0.000016330126 ,,,,,
period1,sc01,t1470, 0.000036144012 ,,,,,
period1,sc01,t1471, 0.000103424126 ,,,,,
period1,sc01,t1472, 0.10182812934 ,,,,,
period1,sc01,t1473, 2.6244666942 ,,,,,
period1,sc01,t1474, 8.156022288 ,,,,,
period1,sc01,t1475, 12.500279808 ,,,,,
period1,sc01,t1476, 16.16325102 ,,,,,
period1,sc01,t1477, 18.312883392 ,,,,,
period1,sc01,t1478, 19.789192038 ,,,,,
period1,sc01,t1479, 19.923229704 ,,,,,
period1,sc01,t1480, 18.31481034 ,,,,,
period1,sc01,t1481, 14.823253194 ,,,,,
period1,sc01,t1482, 9.406668198 ,,,,,
period1,sc01,t1483, 2.40225288 ,,,,,
period1,sc01,t1484, 0.00056611101 ,,,,,
period1,sc01,t1485, 0.000038103626 ,,,,,
period1,sc01,t1486, 0.000030265168 ,,,,,
period1,sc01,t1487, 0.00001480598 ,,,,,
period1,sc01,t1488, 0.000008927134 ,,,,,
period1,sc01,t1489, 0.00002133803 ,,,,,
period1,sc01,t1490, 0.000021120296 ,,,,,
period1,sc01,t1491, 0.000023733116 ,,,,,
period1,sc01,t1492, 0.000021991236 ,,,,,
period1,sc01,t1493, 0.000030700636 ,,,,,
period1,sc01,t1494, 0.000038539094 ,,,,,
period1,sc01,t1495, 0.00010734336 ,,,,,
period1,sc01,t1496, 0.08394990816 ,,,,,
period1,sc01,t1497, 2.5363624026 ,,,,,
period1,sc01,t1498, 8.165069178 ,,,,,
period1,sc01,t1499, 13.211554746 ,,,,,
period1,sc01,t1500, 17.129008092 ,,,,,
period1,sc01,t1501, 20.132072412 ,,,,,
period1,sc01,t1502, 21.186796008 ,,,,,
period1,sc01,t1503, 21.155350728 ,,,,,
period1,sc01,t1504, 19.471224906 ,,,,,
period1,sc01,t1505, 16.025032842 ,,,,,
period1,sc01,t1506, 10.267298472 ,,,,,
period1,sc01,t1507, 2.78318898 ,,,,,
period1,sc01,t1508, 0.000691744108 ,,,,,
period1,sc01,t1509, 0.000047466232 ,,,,,
period1,sc01,t1510, 0.000028958754 ,,,,,
period1,sc01,t1511, 0.000028523284 ,,,,,
period1,sc01,t1512, 0.000023297646 ,,,,,
period1,sc01,t1513, 0.000009144872 ,,,,,
period1,sc01,t1514, 0.000009798076 ,,,,,
period1,sc01,t1515, 0.000009580342 ,,,,,
period1,sc01,t1516, 0.000013281836 ,,,,,
period1,sc01,t1517, 0.000024821794 ,,,,,
period1,sc01,t1518, 0.000046813028 ,,,,,
period1,sc01,t1519, 0.00013281835 ,,,,,
period1,sc01,t1520, 0.1714075272 ,,,,,
period1,sc01,t1521, 5.1846710778 ,,,,,
period1,sc01,t1522, 13.804449336 ,,,,,
period1,sc01,t1523, 19.074259152 ,,,,,
period1,sc01,t1524, 22.368398154 ,,,,,
period1,sc01,t1525, 24.051942624 ,,,,,
period1,sc01,t1526, 24.377199546 ,,,,,
period1,sc01,t1527, 23.667426966 ,,,,,
period1,sc01,t1528, 21.619191606 ,,,,,
period1,sc01,t1529, 17.820752202 ,,,,,
period1,sc01,t1530, 11.865279612 ,,,,,
period1,sc01,t1531, 3.4923083418 ,,,,,
period1,sc01,t1532, 0.0008297881 ,,,,,
period1,sc01,t1533, 0.000040716446 ,,,,,
period1,sc01,t1534, 0.000025692732 ,,,,,
period1,sc01,t1535, 0.000020249356 ,,,,,
period1,sc01,t1536, 0.00000740299 ,,,,,
period1,sc01,t1537, 0.000009798076 ,,,,,
period1,sc01,t1538, 0.000008273932 ,,,,,
period1,sc01,t1539, 0.000010015812 ,,,,,
period1,sc01,t1540, 0.000011757692 ,,,,,
period1,sc01,t1541, 0.000028087814 ,,,,,
period1,sc01,t1542, 0.00004441794 ,,,,,
period1,sc01,t1543, 0.000133036088 ,,,,,
period1,sc01,t1544, 0.19877681724 ,,,,,
period1,sc01,t1545, 5.6930148138 ,,,,,
period1,sc01,t1546, 14.390792274 ,,,,,
period1,sc01,t1547, 19.612062426 ,,,,,
period1,sc01,t1548, 22.741156122 ,,,,,
period1,sc01,t1549, 24.194628726 ,,,,,
period1,sc01,t1550, 24.479027664 ,,,,,
period1,sc01,t1551, 23.66257365 ,,,,,
period1,sc01,t1552, 21.654412416 ,,,,,
period1,sc01,t1553, 18.089970642 ,,,,,
period1,sc01,t1554, 12.280260756 ,,,,,
period1,sc01,t1555, 3.7629246456 ,,,,,
period1,sc01,t1556, 0.04388231274 ,,,,,
period1,sc01,t1557, 0.00003832136 ,,,,,
period1,sc01,t1558, 0.000027652344 ,,,,,
period1,sc01,t1559, 0.000020249356 ,,,,,
period1,sc01,t1560, 0.000011104482 ,,,,,
period1,sc01,t1561, 0.000010886752 ,,,,,
period1,sc01,t1562, 0.000011975424 ,,,,,
period1,sc01,t1563, 0.0000087094 ,,,,,
period1,sc01,t1564, 0.000011975424 ,,,,,
period1,sc01,t1565, 0.0000261282 ,,,,,
period1,sc01,t1566, 0.000047466232 ,,,,,
period1,sc01,t1567, 0.000146535658 ,,,,,
period1,sc01,t1568, 0.23197922808 ,,,,,
period1,sc01,t1569, 5.8383921216 ,,,,,
period1,sc01,t1570, 14.39092293 ,,,,,
period1,sc01,t1571, 19.517680848 ,,,,,
period1,sc01,t1572, 22.377288282 ,,,,,
period1,sc01,t1573, 23.770868508 ,,,,,
period1,sc01,t1574, 23.99205678 ,,,,,
period1,sc01,t1575, 23.134640292 ,,,,,
period1,sc01,t1576, 21.078631794 ,,,,,
period1,sc01,t1577, 17.533969074 ,,,,,
period1,sc01,t1578, 11.856722628 ,,,,,
period1,sc01,t1579, 3.7212370998 ,,,,,
period1,sc01,t1580, 0.04766436972 ,,,,,
period1,sc01,t1581, 0.000033748928 ,,,,,
period1,sc01,t1582, 0.000025910464 ,,,,,
period1,sc01,t1583, 0.000017201066 ,,,,,
period1,sc01,t1584, 0.000010015812 ,,,,,
period1,sc01,t1585, 0.000011975424 ,,,,,
period1,sc01,t1586, 0.00001045128 ,,,,,
period1,sc01,t1587, 0.000008273932 ,,,,,
period1,sc01,t1588, 0.000010015812 ,,,,,
period1,sc01,t1589, 0.00001480598 ,,,,,
period1,sc01,t1590, 0.000036797214 ,,,,,
period1,sc01,t1591, 0.000112351262 ,,,,,
period1,sc01,t1592, 0.14936839014 ,,,,,
period1,sc01,t1593, 4.3535656806 ,,,,,
period1,sc01,t1594, 12.30190797 ,,,,,
period1,sc01,t1595, 17.775981528 ,,,,,
period1,sc01,t1596, 20.7316101 ,,,,,
period1,sc01,t1597, 22.009899648 ,,,,,
period1,sc01,t1598, 22.181006706 ,,,,,
period1,sc01,t1599, 21.121403658 ,,,,,
period1,sc01,t1600, 18.486217878 ,,,,,
period1,sc01,t1601, 14.063118522 ,,,,,
period1,sc01,t1602, 8.52995604 ,,,,,
period1,sc01,t1603, 2.7020478522 ,,,,,
period1,sc01,t1604, 0.05969640606 ,,,,,
period1,sc01,t1605, 0.000036797214 ,,,,,
period1,sc01,t1606, 0.000027216876 ,,,,,
period1,sc01,t1607, 0.00001872521 ,,,,,
period1,sc01,t1608, 0.000008491664 ,,,,,
period1,sc01,t1609, 0.000008491664 ,,,,,
period1,sc01,t1610, 0.000009362604 ,,,,,
period1,sc01,t1611, 0.000009580342 ,,,,,
period1,sc01,t1612, 0.000008056196 ,,,,,
period1,sc01,t1613, 0.000023733116 ,,,,,
period1,sc01,t1614, 0.00004180512 ,,,,,
period1,sc01,t1615, 0.000112568998 ,,,,,
period1,sc01,t1616, 0.18559514004 ,,,,,
period1,sc01,t1617, 4.6791034626 ,,,,,
period1,sc01,t1618, 12.557807568 ,,,,,
period1,sc01,t1619, 18.019626996 ,,,,,
period1,sc01,t1620, 20.958383286 ,,,,,
period1,sc01,t1621, 22.025628822 ,,,,,
period1,sc01,t1622, 22.399974084 ,,,,,
period1,sc01,t1623, 21.398094768 ,,,,,
period1,sc01,t1624, 19.34405895 ,,,,,
period1,sc01,t1625, 15.34562124 ,,,,,
period1,sc01,t1626, 9.951846174 ,,,,,
period1,sc01,t1627, 3.2135596326 ,,,,,
period1,sc01,t1628, 0.06289057854 ,,,,,
period1,sc01,t1629, 0.00003570854 ,,,,,
period1,sc01,t1630, 0.000024821794 ,,,,,
period1,sc01,t1631, 0.00001959615 ,,,,,
period1,sc01,t1632, 0.000013499572 ,,,,,
period1,sc01,t1633, 0.000010886752 ,,,,,
period1,sc01,t1634, 0.000010669014 ,,,,,
period1,sc01,t1635, 0.000008056196 ,,,,,
period1,sc01,t1636, 0.000011757692 ,,,,,
period1,sc01,t1637, 0.000025474996 ,,,,,
period1,sc01,t1638, 0.000043982472 ,,,,,
period1,sc01,t1639, 0.000118230108 ,,,,,
period1,sc01,t1640, 0.23422625328 ,,,,,
period1,sc01,t1641, 5.654247096 ,,,,,
period1,sc01,t1642, 13.862310234 ,,,,,
period1,sc01,t1643, 18.879493008 ,,,,,
period1,sc01,t1644, 21.68907147 ,,,,,
period1,sc01,t1645, 23.106467562 ,,,,,
period1,sc01,t1646, 23.393812452 ,,,,,
period1,sc01,t1647, 22.680074934 ,,,,,
period1,sc01,t1648, 20.623530798 ,,,,,
period1,sc01,t1649, 17.08955451 ,,,,,
period1,sc01,t1650, 11.5711218 ,,,,,
period1,sc01,t1651, 3.650886921 ,,,,,
period1,sc01,t1652, 0.05469285558 ,,,,,
period1,sc01,t1653, 0.000034619866 ,,,,,
period1,sc01,t1654, 0.000025257262 ,,,,,
period1,sc01,t1655, 0.000019378416 ,,,,,
period1,sc01,t1656, 0.00001045128 ,,,,,
period1,sc01,t1657, 0.0000087094 ,,,,,
period1,sc01,t1658, 0.000008056196 ,,,,,
period1,sc01,t1659, 0.000010886752 ,,,,,
period1,sc01,t1660, 0.000011322222 ,,,,,
period1,sc01,t1661, 0.000026345934 ,,,,,
period1,sc01,t1662, 0.000042458326 ,,,,,
period1,sc01,t1663, 0.000116052758 ,,,,,
period1,sc01,t1664, 0.27410441916 ,,,,,
period1,sc01,t1665, 5.8685179374 ,,,,,
period1,sc01,t1666, 13.87378704 ,,,,,
period1,sc01,t1667, 18.848106516 ,,,,,
period1,sc01,t1668, 21.772302858 ,,,,,
period1,sc01,t1669, 23.201208432 ,,,,,
period1,sc01,t1670, 23.536812096 ,,,,,
period1,sc01,t1671, 22.753880556 ,,,,,
period1,sc01,t1672, 20.763055386 ,,,,,
period1,sc01,t1673, 17.229653928 ,,,,,
period1,sc01,t1674, 11.607577176 ,,,,,
period1,sc01,t1675, 3.782690628 ,,,,,
period1,sc01,t1676, 0.07274744214 ,,,,,
period1,sc01,t1677, 0.000037014954 ,,,,,
period1,sc01,t1678, 0.000027434612 ,,,,,
period1,sc01,t1679, 0.00002133803 ,,,,,
period1,sc01,t1680, 0.000011322222 ,,,,,
period1,sc01,t1681, 0.000009580342 ,,,,,
period1,sc01,t1682, 0.000008491664 ,,,,,
period1,sc01,t1683, 0.000010015812 ,,,,,
period1,sc01,t1684, 0.000010669014 ,,,,,
period1,sc01,t1685, 0.000026999142 ,,,,,
period1,sc01,t1686, 0.00004267606 ,,,,,
period1,sc01,t1687, 0.000106472418 ,,,,,
period1,sc01,t1688, 0.3015520938 ,,,,,
period1,sc01,t1689, 5.821003803 ,,,,,
period1,sc01,t1690, 13.58723907 ,,,,,
period1,sc01,t1691, 18.346412394 ,,,,,
period1,sc01,t1692, 21.259870056 ,,,,,
period1,sc01,t1693, 22.86811959 ,,,,,
period1,sc01,t1694, 23.13325551 ,,,,,
period1,sc01,t1695, 22.369090554 ,,,,,
period1,sc01,t1696, 20.176882278 ,,,,,
period1,sc01,t1697, 16.246795932 ,,,,,
period1,sc01,t1698, 10.31953527 ,,,,,
period1,sc01,t1699, 3.1148472924 ,,,,,
period1,sc01,t1700, 0.03782057016 ,,,,,
period1,sc01,t1701, 0.000037014954 ,,,,,
period1,sc01,t1702, 0.000026999142 ,,,,,
period1,sc01,t1703, 0.00001959615 ,,,,,
period1,sc01,t1704, 0.000009580342 ,,,,,
period1,sc01,t1705, 0.000006967522 ,,,,,
period1,sc01,t1706, 0.00001219316 ,,,,,
period1,sc01,t1707, 0.000009144872 ,,,,,
period1,sc01,t1708, 0.000009144872 ,,,,,
period1,sc01,t1709, 0.000025257262 ,,,,,
period1,sc01,t1710, 0.000043547 ,,,,,
period1,sc01,t1711, 0.000104512802 ,,,,,
period1,sc01,t1712, 0.22489195356 ,,,,,
period1,sc01,t1713, 3.5639845266 ,,,,,
period1,sc01,t1714, 9.355600644 ,,,,,
period1,sc01,t1715, 15.169608612 ,,,,,
period1,sc01,t1716, 19.030723038 ,,,,,
period1,sc01,t1717, 21.27649413 ,,,,,
period1,sc01,t1718, 21.89379246 ,,,,,
period1,sc01,t1719, 21.046023804 ,,,,,
period1,sc01,t1720, 19.192920372 ,,,,,
period1,sc01,t1721, 15.569004288 ,,,,,
period1,sc01,t1722, 10.03959774 ,,,,,
period1,sc01,t1723, 3.2277995022 ,,,,,
period1,sc01,t1724, 0.07087274382 ,,,,,
period1,sc01,t1725, 0.00003570854 ,,,,,
period1,sc01,t1726, 0.000024604054 ,,,,,
period1,sc01,t1727, 0.00001916068 ,,,,,
period1,sc01,t1728, 0.000012410894 ,,,,,
period1,sc01,t1729, 0.000009580342 ,,,,,
period1,sc01,t1730, 0.000009580342 ,,,,,
period1,sc01,t1731, 0.000011104482 ,,,,,
period1,sc01,t1732, 0.000010233544 ,,,,,
period1,sc01,t1733, 0.000011757692 ,,,,,
period1,sc01,t1734, 0.000033313456 ,,,,,
period1,sc01,t1735, 0.00010494827 ,,,,,
period1,sc01,t1736, 0.2134412697 ,,,,,
period1,sc01,t1737, 4.0682718594 ,,,,,
period1,sc01,t1738, 10.411023174 ,,,,,
period1,sc01,t1739, 15.196030758 ,,,,,
period1,sc01,t1740, 17.915303628 ,,,,,
period1,sc01,t1741, 19.496236122 ,,,,,
period1,sc01,t1742, 20.39063055 ,,,,,
period1,sc01,t1743, 20.616946494 ,,,,,
period1,sc01,t1744, 19.346482332 ,,,,,
period1,sc01,t1745, 15.790218702 ,,,,,
period1,sc01,t1746, 10.871480436 ,,,,,
period1,sc01,t1747, 3.8270759088 ,,,,,
period1,sc01,t1748, 0.10017552066 ,,,,,
period1,sc01,t1749, 0.000060965798 ,,,,,
period1,sc01,t1750, 0.000027652344 ,,,,,
period1,sc01,t1751, 0.000020902558 ,,,,,
period1,sc01,t1752, 0.00001219316 ,,,,,
period1,sc01,t1753, 0.0000087094 ,,,,,
period1,sc01,t1754, 0.000009362604 ,,,,,
period1,sc01,t1755, 0.000011104482 ,,,,,
period1,sc01,t1756, 0.000013281836 ,,,,,
period1,sc01,t1757, 0.000029394228 ,,,,,
period1,sc01,t1758, 0.000043547 ,,,,,
period1,sc01,t1759, 0.000119318782 ,,,,,
period1,sc01,t1760, 0.39156374454 ,,,,,
period1,sc01,t1761, 5.4731656032 ,,,,,
period1,sc01,t1762, 12.128756388 ,,,,,
period1,sc01,t1763, 16.464966408 ,,,,,
period1,sc01,t1764, 18.762223122 ,,,,,
period1,sc01,t1765, 18.978897756 ,,,,,
period1,sc01,t1766, 18.614494272 ,,,,,
period1,sc01,t1767, 17.584853748 ,,,,,
period1,sc01,t1768, 15.607876524 ,,,,,
period1,sc01,t1769, 12.16164525 ,,,,,
period1,sc01,t1770, 8.009900334 ,,,,,
period1,sc01,t1771, 2.7244723812 ,,,,,
period1,sc01,t1772, 0.0867390936 ,,,,,
period1,sc01,t1773, 0.000037232688 ,,,,,
period1,sc01,t1774, 0.0000261282 ,,,,,
period1,sc01,t1775, 0.000021773502 ,,,,,
period1,sc01,t1776, 0.000014588246 ,,,,,
period1,sc01,t1777, 0.000010015812 ,,,,,
period1,sc01,t1778, 0.000011322222 ,,,,,
period1,sc01,t1779, 0.00001219316 ,,,,,
period1,sc01,t1780, 0.00001437051 ,,,,,
period1,sc01,t1781, 0.000028305552 ,,,,,
period1,sc01,t1782, 0.00004485341 ,,,,,
period1,sc01,t1783, 0.00011017391 ,,,,,
period1,sc01,t1784, 0.34254070824 ,,,,,
period1,sc01,t1785, 5.6079544566 ,,,,,
period1,sc01,t1786, 13.016494656 ,,,,,
period1,sc01,t1787, 18.106522866 ,,,,,
period1,sc01,t1788, 21.240019158 ,,,,,
period1,sc01,t1789, 22.525121628 ,,,,,
period1,sc01,t1790, 22.606543638 ,,,,,
period1,sc01,t1791, 21.99430764 ,,,,,
period1,sc01,t1792, 20.076236448 ,,,,,
period1,sc01,t1793, 16.777923468 ,,,,,
period1,sc01,t1794, 11.51300616 ,,,,,
period1,sc01,t1795, 4.0005998214 ,,,,,
period1,sc01,t1796, 0.10698844896 ,,,,,
period1,sc01,t1797, 0.000035926276 ,,,,,
period1,sc01,t1798, 0.00002787008 ,,,,,
period1,sc01,t1799, 0.00001828974 ,,,,,
period1,sc01,t1800, 0.000010015812 ,,,,,
period1,sc01,t1801, 0.000008056196 ,,,,,
period1,sc01,t1802, 0.00000653205 ,,,,,
period1,sc01,t1803, 0.000008273932 ,,,,,
period1,sc01,t1804, 0.000011104482 ,,,,,
period1,sc01,t1805, 0.000026345934 ,,,,,
period1,sc01,t1806, 0.00004528888 ,,,,,
period1,sc01,t1807, 0.000098198486 ,,,,,
period1,sc01,t1808, 0.36594504384 ,,,,,
period1,sc01,t1809, 3.9262193652 ,,,,,
period1,sc01,t1810, 8.731659204 ,,,,,
period1,sc01,t1811, 12.59688882 ,,,,,
period1,sc01,t1812, 14.941241604 ,,,,,
period1,sc01,t1813, 15.278556684 ,,,,,
period1,sc01,t1814, 14.688725622 ,,,,,
period1,sc01,t1815, 12.864291366 ,,,,,
period1,sc01,t1816, 10.159238766 ,,,,,
period1,sc01,t1817, 7.024233564 ,,,,,
period1,sc01,t1818, 4.0306799112 ,,,,,
period1,sc01,t1819, 1.0588649208 ,,,,,
period1,sc01,t1820, 0.000671494754 ,,,,,
period1,sc01,t1821, 0.00002003162 ,,,,,
period1,sc01,t1822, 0.00001393504 ,,,,,
period1,sc01,t1823, 0.000008056196 ,,,,,
period1,sc01,t1824, 0.000008927134 ,,,,,
period1,sc01,t1825, 0.000009362604 ,,,,,
period1,sc01,t1826, 0.00001045128 ,,,,,
period1,sc01,t1827, 0.000009798076 ,,,,,
period1,sc01,t1828, 0.000010669014 ,,,,,
period1,sc01,t1829, 0.000008927134 ,,,,,
period1,sc01,t1830, 0.000011104482 ,,,,,
period1,sc01,t1831, 0.000056828834 ,,,,,
period1,sc01,t1832, 0.11446111422 ,,,,,
period1,sc01,t1833, 1.2649511022 ,,,,,
period1,sc01,t1834, 3.1778554482 ,,,,,
period1,sc01,t1835, 4.6772483598 ,,,,,
period1,sc01,t1836, 5.9579808954 ,,,,,
period1,sc01,t1837, 6.47431986 ,,,,,
period1,sc01,t1838, 6.558230574 ,,,,,
period1,sc01,t1839, 6.497685006 ,,,,,
period1,sc01,t1840, 6.094755492 ,,,,,
period1,sc01,t1841, 4.97101425 ,,,,,
period1,sc01,t1842, 3.1346589996 ,,,,,
period1,sc01,t1843, 1.217116899 ,,,,,
period1,sc01,t1844, 0.03610264104 ,,,,,
period1,sc01,t1845, 0.000029394228 ,,,,,
period1,sc01,t1846, 0.000020249356 ,,,,,
period1,sc01,t1847, 0.000013064102 ,,,,,
period1,sc01,t1848, 0.000011322222 ,,,,,
period1,sc01,t1849, 0.0000087094 ,,,,,
period1,sc01,t1850, 0.000011539956 ,,,,,
period1,sc01,t1851, 0.000009580342 ,,,,,
period1,sc01,t1852, 0.000009798076 ,,,,,
period1,sc01,t1853, 0.000010015812 ,,,,,
period1,sc01,t1854, 0.000011539956 ,,,,,
period1,sc01,t1855, 0.000054216016 ,,,,,
period1,sc01,t1856, 0.1553125557 ,,,,,
period1,sc01,t1857, 2.0279664084 ,,,,,
period1,sc01,t1858, 4.8124683312 ,,,,,
period1,sc01,t1859, 7.165809216 ,,,,,
period1,sc01,t1860, 9.33712146 ,,,,,
period1,sc01,t1861, 10.119765588 ,,,,,
period1,sc01,t1862, 9.55993623 ,,,,,
period1,sc01,t1863, 8.17541595 ,,,,,
period1,sc01,t1864, 6.673664964 ,,,,,
period1,sc01,t1865, 4.4586598356 ,,,,,
period1,sc01,t1866, 2.6615099508 ,,,,,
period1,sc01,t1867, 0.8444830356 ,,,,,
period1,sc01,t1868, 0.000750314822 ,,,,,
period1,sc01,t1869, 0.000012410894 ,,,,,
period1,sc01,t1870, 0.00001219316 ,,,,,
period1,sc01,t1871, 0.000010669014 ,,,,,
period1,sc01,t1872, 0.000009798076 ,,,,,
period1,sc01,t1873, 0.000008491664 ,,,,,
period1,sc01,t1874, 0.000007620724 ,,,,,
period1,sc01,t1875, 0.000008927134 ,,,,,
period1,sc01,t1876, 0.0000087094 ,,,,,
period1,sc01,t1877, 0.000009580342 ,,,,,
period1,sc01,t1878, 0.000011757692 ,,,,,
period1,sc01,t1879, 0.000055086956 ,,,,,
period1,sc01,t1880, 0.19927978512 ,,,,,
period1,sc01,t1881, 1.9822420566 ,,,,,
period1,sc01,t1882, 3.2210322996 ,,,,,
period1,sc01,t1883, 3.886497969 ,,,,,
period1,sc01,t1884, 8.186180772 ,,,,,
period1,sc01,t1885, 9.148149258 ,,,,,
period1,sc01,t1886, 8.693244222 ,,,,,
period1,sc01,t1887, 7.644745668 ,,,,,
period1,sc01,t1888, 6.462104928 ,,,,,
period1,sc01,t1889, 4.1746397646 ,,,,,
period1,sc01,t1890, 2.3020055076 ,,,,,
period1,sc01,t1891, 0.635849355 ,,,,,
period1,sc01,t1892, 0.00063230245 ,,,,,
period1,sc01,t1893, 0.000010669014 ,,,,,
period1,sc01,t1894, 0.000016330126 ,,,,,
period1,sc01,t1895, 0.000016330126 ,,,,,
period1,sc01,t1896, 0.000009798076 ,,,,,
period1,sc01,t1897, 0.00000740299 ,,,,,
period1,sc01,t1898, 0.000007838462 ,,,,,
period1,sc01,t1899, 0.000007838462 ,,,,,
period1,sc01,t1900, 0.000009580342 ,,,,,
period1,sc01,t1901, 0.0000087094 ,,,,,
period1,sc01,t1902, 0.0000174188 ,,,,,
period1,sc01,t1903, 0.000070328406 ,,,,,
period1,sc01,t1904, 0.20411350218 ,,,,,
period1,sc01,t1905, 1.8332002704 ,,,,,
period1,sc01,t1906, 4.4005637826 ,,,,,
period1,sc01,t1907, 7.0164147 ,,,,,
period1,sc01,t1908, 8.813264112 ,,,,,
period1,sc01,t1909, 9.95360982 ,,,,,
period1,sc01,t1910, 9.32840772 ,,,,,
period1,sc01,t1911, 8.493709692 ,,,,,
period1,sc01,t1912, 7.170865026 ,,,,,
period1,sc01,t1913, 4.927151535 ,,,,,
period1,sc01,t1914, 2.7295869762 ,,,,,
period1,sc01,t1915, 0.842686722 ,,,,,
period1,sc01,t1916, 0.000816941736 ,,,,,
period1,sc01,t1917, 0.000023297646 ,,,,,
period1,sc01,t1918, 0.000013717306 ,,,,,
period1,sc01,t1919, 0.000011975424 ,,,,,
period1,sc01,t1920, 0.0000087094 ,,,,,
period1,sc01,t1921, 0.000011975424 ,,,,,
period1,sc01,t1922, 0.000009798076 ,,,,,
period1,sc01,t1923, 0.000009580342 ,,,,,
period1,sc01,t1924, 0.000010015812 ,,,,,
period1,sc01,t1925, 0.00001437051 ,,,,,
period1,sc01,t1926, 0.000013064102 ,,,,,
period1,sc01,t1927, 0.000066844648 ,,,,,
period1,sc01,t1928, 0.21249412254 ,,,,,
period1,sc01,t1929, 1.8362572698 ,,,,,
period1,sc01,t1930, 4.8191179566 ,,,,,
period1,sc01,t1931, 7.896549666 ,,,,,
period1,sc01,t1932, 10.135553556 ,,,,,
period1,sc01,t1933, 10.879299312 ,,,,,
period1,sc01,t1934, 10.623373578 ,,,,,
period1,sc01,t1935, 10.471189884 ,,,,,
period1,sc01,t1936, 9.244614576 ,,,,,
period1,sc01,t1937, 6.855954888 ,,,,,
period1,sc01,t1938, 3.8496049494 ,,,,,
period1,sc01,t1939, 1.336098192 ,,,,,
period1,sc01,t1940, 0.05032291422 ,,,,,
period1,sc01,t1941, 0.000028087814 ,,,,,
period1,sc01,t1942, 0.000021773502 ,,,,,
period1,sc01,t1943, 0.00001437051 ,,,,,
period1,sc01,t1944, 0.000010233544 ,,,,,
period1,sc01,t1945, 0.000009144872 ,,,,,
period1,sc01,t1946, 0.000010886752 ,,,,,
period1,sc01,t1947, 0.000028958754 ,,,,,
period1,sc01,t1948, 0.000009580342 ,,,,,
period1,sc01,t1949, 0.000011104482 ,,,,,
period1,sc01,t1950, 0.000019378416 ,,,,,
period1,sc01,t1951, 0.000066191444 ,,,,,
period1,sc01,t1952, 0.21690978834 ,,,,,
period1,sc01,t1953, 1.9879249416 ,,,,,
period1,sc01,t1954, 4.509766596 ,,,,,
period1,sc01,t1955, 6.847188876 ,,,,,
period1,sc01,t1956, 8.647219398 ,,,,,
period1,sc01,t1957, 9.628797102 ,,,,,
period1,sc01,t1958, 9.473151414 ,,,,,
period1,sc01,t1959, 8.953356996 ,,,,,
period1,sc01,t1960, 7.529376594 ,,,,,
period1,sc01,t1961, 5.6013636186 ,,,,,
period1,sc01,t1962, 3.3426264108 ,,,,,
period1,sc01,t1963, 1.1196195192 ,,,,,
