,,,Node1,Node2,Node3,Node4
period1,sc01,t0001, 66.88 ,,,
period1,sc01,t0002, 66 ,,,
period1,sc01,t0003, 63.64 ,,,
period1,sc01,t0004, 58.85 ,,,
period1,sc01,t0005, 55.47 ,,,
period1,sc01,t0006, 56 ,,,
period1,sc01,t0007, 61.09 ,,,
period1,sc01,t0008, 61.01 ,,,
period1,sc01,t0009, 61 ,,,
period1,sc01,t0010, 63 ,,,
period1,sc01,t0011, 63 ,,,
period1,sc01,t0012, 64.03 ,,,
period1,sc01,t0013, 65.88 ,,,
period1,sc01,t0014, 65.01 ,,,
period1,sc01,t0015, 60.84 ,,,
period1,sc01,t0016, 61.09 ,,,
period1,sc01,t0017, 63.08 ,,,
period1,sc01,t0018, 66.66 ,,,
period1,sc01,t0019, 67.06 ,,,
period1,sc01,t0020, 67.26 ,,,
period1,sc01,t0021, 68.07 ,,,
period1,sc01,t0022, 67.08 ,,,
period1,sc01,t0023, 64.03 ,,,
period1,sc01,t0024, 61.74 ,,,
period1,sc01,t0025, 53 ,,,
period1,sc01,t0026, 48.23 ,,,
period1,sc01,t0027, 47.23 ,,,
period1,sc01,t0028, 45.24 ,,,
period1,sc01,t0029, 45.7 ,,,
period1,sc01,t0030, 51.1 ,,,
period1,sc01,t0031, 58.37 ,,,
period1,sc01,t0032, 63.75 ,,,
period1,sc01,t0033, 66.1 ,,,
period1,sc01,t0034, 65.88 ,,,
period1,sc01,t0035, 63.63 ,,,
period1,sc01,t0036, 62.8 ,,,
period1,sc01,t0037, 63.16 ,,,
period1,sc01,t0038, 61.5 ,,,
period1,sc01,t0039, 60.69 ,,,
period1,sc01,t0040, 62.19 ,,,
period1,sc01,t0041, 67.1 ,,,
period1,sc01,t0042, 69.3 ,,,
period1,sc01,t0043, 69.25 ,,,
period1,sc01,t0044, 68.07 ,,,
period1,sc01,t0045, 68.01 ,,,
period1,sc01,t0046, 66.66 ,,,
period1,sc01,t0047, 64.28 ,,,
period1,sc01,t0048, 62.01 ,,,
period1,sc01,t0049, 54.85 ,,,
period1,sc01,t0050, 52.19 ,,,
period1,sc01,t0051, 50.21 ,,,
period1,sc01,t0052, 50.2 ,,,
period1,sc01,t0053, 52.19 ,,,
period1,sc01,t0054, 54.91 ,,,
period1,sc01,t0055, 66.58 ,,,
period1,sc01,t0056, 68.03 ,,,
period1,sc01,t0057, 69.12 ,,,
period1,sc01,t0058, 69.19 ,,,
period1,sc01,t0059, 68.01 ,,,
period1,sc01,t0060, 67.2 ,,,
period1,sc01,t0061, 66.7 ,,,
period1,sc01,t0062, 67 ,,,
period1,sc01,t0063, 68.01 ,,,
period1,sc01,t0064, 68.99 ,,,
period1,sc01,t0065, 70 ,,,
period1,sc01,t0066, 71.1 ,,,
period1,sc01,t0067, 70.55 ,,,
period1,sc01,t0068, 68.38 ,,,
period1,sc01,t0069, 67.83 ,,,
period1,sc01,t0070, 66.1 ,,,
period1,sc01,t0071, 66.88 ,,,
period1,sc01,t0072, 67.2 ,,,
period1,sc01,t0073, 63.75 ,,,
period1,sc01,t0074, 58.89 ,,,
period1,sc01,t0075, 54.94 ,,,
period1,sc01,t0076, 54.85 ,,,
period1,sc01,t0077, 58 ,,,
period1,sc01,t0078, 63 ,,,
period1,sc01,t0079, 68.4 ,,,
period1,sc01,t0080, 69.71 ,,,
period1,sc01,t0081, 71.06 ,,,
period1,sc01,t0082, 71.06 ,,,
period1,sc01,t0083, 70.16 ,,,
period1,sc01,t0084, 70.01 ,,,
