,,,Node1,Node2,Node3,Node4
period1,sc01,t0085, 69.17 ,,,
period1,sc01,t0086, 69.15 ,,,
period1,sc01,t0087, 68.4 ,,,
period1,sc01,t0088, 68.4 ,,,
period1,sc01,t0089, 69.15 ,,,
period1,sc01,t0090, 71.06 ,,,
period1,sc01,t0091, 71.94 ,,,
period1,sc01,t0092, 70.2 ,,,
period1,sc01,t0093, 68.71 ,,,
period1,sc01,t0094, 68.68 ,,,
period1,sc01,t0095, 68.17 ,,,
period1,sc01,t0096, 71.68 ,,,
period1,sc01,t0097, 69.5 ,,,
period1,sc01,t0098, 68.07 ,,,
period1,sc01,t0099, 66 ,,,
period1,sc01,t0100, 63.93 ,,,
period1,sc01,t0101, 62 ,,,
period1,sc01,t0102, 60.84 ,,,
period1,sc01,t0103, 62.92 ,,,
period1,sc01,t0104, 60.79 ,,,
period1,sc01,t0105, 66.92 ,,,
period1,sc01,t0106, 69.12 ,,,
period1,sc01,t0107, 68.25 ,,,
period1,sc01,t0108, 67.67 ,,,
period1,sc01,t0109, 64 ,,,
period1,sc01,t0110, 61.57 ,,,
period1,sc01,t0111, 59.4 ,,,
period1,sc01,t0112, 58.31 ,,,
period1,sc01,t0113, 67.2 ,,,
period1,sc01,t0114, 69 ,,,
period1,sc01,t0115, 68.71 ,,,
period1,sc01,t0116, 68.07 ,,,
period1,sc01,t0117, 65.38 ,,,
period1,sc01,t0118, 65.76 ,,,
period1,sc01,t0119, 62.8 ,,,
period1,sc01,t0120, 63.75 ,,,
period1,sc01,t0121, 54.7 ,,,
period1,sc01,t0122, 54.05 ,,,
period1,sc01,t0123, 48.06 ,,,
period1,sc01,t0124, 48.37 ,,,
period1,sc01,t0125, 47.17 ,,,
period1,sc01,t0126, 48.19 ,,,
period1,sc01,t0127, 50.2 ,,,
period1,sc01,t0128, 52.2 ,,,
period1,sc01,t0129, 54.7 ,,,
period1,sc01,t0130, 62 ,,,
period1,sc01,t0131, 64.01 ,,,
period1,sc01,t0132, 64.18 ,,,
period1,sc01,t0133, 64.86 ,,,
period1,sc01,t0134, 64.01 ,,,
period1,sc01,t0135, 58.31 ,,,
period1,sc01,t0136, 54.94 ,,,
period1,sc01,t0137, 63.43 ,,,
period1,sc01,t0138, 67.37 ,,,
period1,sc01,t0139, 67.2 ,,,
period1,sc01,t0140, 66.03 ,,,
period1,sc01,t0141, 68 ,,,
period1,sc01,t0142, 67.65 ,,,
period1,sc01,t0143, 65.38 ,,,
period1,sc01,t0144, 59.59 ,,,
period1,sc01,t0145, 54.09 ,,,
period1,sc01,t0146, 52.2 ,,,
period1,sc01,t0147, 50.9 ,,,
period1,sc01,t0148, 50.5 ,,,
period1,sc01,t0149, 50.9 ,,,
period1,sc01,t0150, 55.77 ,,,
period1,sc01,t0151, 68.61 ,,,
period1,sc01,t0152, 69.15 ,,,
period1,sc01,t0153, 69.7 ,,,
period1,sc01,t0154, 69.49 ,,,
period1,sc01,t0155, 69.01 ,,,
period1,sc01,t0156, 69 ,,,
period1,sc01,t0157, 68.74 ,,,
period1,sc01,t0158, 66.62 ,,,
period1,sc01,t0159, 64.99 ,,,
period1,sc01,t0160, 62.67 ,,,
period1,sc01,t0161, 67.04 ,,,
period1,sc01,t0162, 70.39 ,,,
period1,sc01,t0163, 70.33 ,,,
period1,sc01,t0164, 69 ,,,
period1,sc01,t0165, 67.14 ,,,
period1,sc01,t0166, 63 ,,,
period1,sc01,t0167, 60.84 ,,,
period1,sc01,t0168, 59.59 ,,,
period1,sc01,t0169, 54.34 ,,,
period1,sc01,t0170, 52.1 ,,,
period1,sc01,t0171, 50.71 ,,,
period1,sc01,t0172, 50.5 ,,,
period1,sc01,t0173, 51.17 ,,,
period1,sc01,t0174, 54.69 ,,,
period1,sc01,t0175, 65.82 ,,,
period1,sc01,t0176, 67.2 ,,,
period1,sc01,t0177, 68.16 ,,,
period1,sc01,t0178, 68.53 ,,,
period1,sc01,t0179, 68.15 ,,,
period1,sc01,t0180, 67.95 ,,,
period1,sc01,t0181, 67.97 ,,,
period1,sc01,t0182, 65.48 ,,,
period1,sc01,t0183, 63.13 ,,,
period1,sc01,t0184, 59.99 ,,,
period1,sc01,t0185, 67.25 ,,,
period1,sc01,t0186, 69.94 ,,,
period1,sc01,t0187, 70 ,,,
period1,sc01,t0188, 68.15 ,,,
period1,sc01,t0189, 67.25 ,,,
period1,sc01,t0190, 63.7 ,,,
period1,sc01,t0191, 58.85 ,,,
period1,sc01,t0192, 54.09 ,,,
period1,sc01,t0193, 52.5 ,,,
period1,sc01,t0194, 49.4 ,,,
period1,sc01,t0195, 49.6 ,,,
period1,sc01,t0196, 49.4 ,,,
period1,sc01,t0197, 49.99 ,,,
period1,sc01,t0198, 53.28 ,,,
period1,sc01,t0199, 64.07 ,,,
period1,sc01,t0200, 67.16 ,,,
period1,sc01,t0201, 67.29 ,,,
period1,sc01,t0202, 67.2 ,,,
period1,sc01,t0203, 67 ,,,
period1,sc01,t0204, 64.97 ,,,
period1,sc01,t0205, 64.25 ,,,
period1,sc01,t0206, 61.46 ,,,
period1,sc01,t0207, 58.64 ,,,
period1,sc01,t0208, 61.49 ,,,
period1,sc01,t0209, 67.05 ,,,
period1,sc01,t0210, 68.53 ,,,
period1,sc01,t0211, 69.01 ,,,
period1,sc01,t0212, 66.58 ,,,
period1,sc01,t0213, 64.54 ,,,
period1,sc01,t0214, 62.44 ,,,
period1,sc01,t0215, 54.7 ,,,
period1,sc01,t0216, 58.6 ,,,
period1,sc01,t0217, 50.49 ,,,
period1,sc01,t0218, 51.2 ,,,
period1,sc01,t0219, 48.8 ,,,
period1,sc01,t0220, 48.5 ,,,
period1,sc01,t0221, 49.8 ,,,
period1,sc01,t0222, 57.74 ,,,
period1,sc01,t0223, 66.18 ,,,
period1,sc01,t0224, 67.2 ,,,
period1,sc01,t0225, 68 ,,,
period1,sc01,t0226, 67.73 ,,,
period1,sc01,t0227, 67.05 ,,,
period1,sc01,t0228, 66.15 ,,,
period1,sc01,t0229, 66.01 ,,,
period1,sc01,t0230, 64.18 ,,,
period1,sc01,t0231, 63.52 ,,,
period1,sc01,t0232, 64.6 ,,,
period1,sc01,t0233, 67.2 ,,,
period1,sc01,t0234, 69 ,,,
period1,sc01,t0235, 69.69 ,,,
period1,sc01,t0236, 69.75 ,,,
period1,sc01,t0237, 67.73 ,,,
period1,sc01,t0238, 65.52 ,,,
period1,sc01,t0239, 63.02 ,,,
period1,sc01,t0240, 60.84 ,,,
period1,sc01,t0241, 55.61 ,,,
period1,sc01,t0242, 52.85 ,,,
period1,sc01,t0243, 51 ,,,
period1,sc01,t0244, 49.98 ,,,
period1,sc01,t0245, 51.6 ,,,
period1,sc01,t0246, 58.31 ,,,
period1,sc01,t0247, 68.35 ,,,
period1,sc01,t0248, 69.01 ,,,
period1,sc01,t0249, 69.45 ,,,
period1,sc01,t0250, 69.01 ,,,
period1,sc01,t0251, 67.71 ,,,
period1,sc01,t0252, 67.69 ,,,
period1,sc01,t0253, 67.2 ,,,
period1,sc01,t0254, 67.66 ,,,
period1,sc01,t0255, 66.06 ,,,
period1,sc01,t0256, 66.18 ,,,
period1,sc01,t0257, 68.07 ,,,
period1,sc01,t0258, 70 ,,,
period1,sc01,t0259, 70.45 ,,,
period1,sc01,t0260, 69.19 ,,,
period1,sc01,t0261, 67.12 ,,,
period1,sc01,t0262, 66.03 ,,,
period1,sc01,t0263, 63.9 ,,,
period1,sc01,t0264, 67.18 ,,,
period1,sc01,t0265, 59.86 ,,,
period1,sc01,t0266, 53.89 ,,,
period1,sc01,t0267, 51.6 ,,,
period1,sc01,t0268, 51.4 ,,,
period1,sc01,t0269, 51.45 ,,,
period1,sc01,t0270, 52.37 ,,,
period1,sc01,t0271, 57.49 ,,,
period1,sc01,t0272, 64 ,,,
period1,sc01,t0273, 68 ,,,
period1,sc01,t0274, 68.39 ,,,
period1,sc01,t0275, 67.13 ,,,
period1,sc01,t0276, 64.69 ,,,
period1,sc01,t0277, 66.12 ,,,
period1,sc01,t0278, 64.58 ,,,
period1,sc01,t0279, 59.86 ,,,
period1,sc01,t0280, 57.52 ,,,
period1,sc01,t0281, 59.86 ,,,
period1,sc01,t0282, 68.39 ,,,
period1,sc01,t0283, 69.45 ,,,
period1,sc01,t0284, 69.69 ,,,
period1,sc01,t0285, 69.45 ,,,
period1,sc01,t0286, 68.71 ,,,
period1,sc01,t0287, 67.83 ,,,
period1,sc01,t0288, 57.48 ,,,
period1,sc01,t0289, 52.29 ,,,
period1,sc01,t0290, 50.81 ,,,
period1,sc01,t0291, 50 ,,,
period1,sc01,t0292, 49.91 ,,,
period1,sc01,t0293, 49.91 ,,,
period1,sc01,t0294, 49.97 ,,,
period1,sc01,t0295, 50.97 ,,,
period1,sc01,t0296, 51.31 ,,,
period1,sc01,t0297, 52.29 ,,,
period1,sc01,t0298, 61.78 ,,,
period1,sc01,t0299, 62.5 ,,,
period1,sc01,t0300, 63.15 ,,,
period1,sc01,t0301, 66 ,,,
period1,sc01,t0302, 66 ,,,
period1,sc01,t0303, 63.67 ,,,
period1,sc01,t0304, 60.82 ,,,
period1,sc01,t0305, 64.39 ,,,
period1,sc01,t0306, 68.52 ,,,
period1,sc01,t0307, 70.11 ,,,
period1,sc01,t0308, 71.69 ,,,
period1,sc01,t0309, 71.69 ,,,
period1,sc01,t0310, 70.01 ,,,
period1,sc01,t0311, 68 ,,,
period1,sc01,t0312, 60 ,,,
period1,sc01,t0313, 51.91 ,,,
period1,sc01,t0314, 51.41 ,,,
period1,sc01,t0315, 50.81 ,,,
period1,sc01,t0316, 50.47 ,,,
period1,sc01,t0317, 51.31 ,,,
period1,sc01,t0318, 56.2 ,,,
period1,sc01,t0319, 66.49 ,,,
period1,sc01,t0320, 67.83 ,,,
period1,sc01,t0321, 68.07 ,,,
period1,sc01,t0322, 67.27 ,,,
period1,sc01,t0323, 67 ,,,
period1,sc01,t0324, 67.2 ,,,
period1,sc01,t0325, 66.42 ,,,
period1,sc01,t0326, 64.33 ,,,
period1,sc01,t0327, 62.56 ,,,
period1,sc01,t0328, 62.84 ,,,
period1,sc01,t0329, 68.07 ,,,
period1,sc01,t0330, 71.64 ,,,
period1,sc01,t0331, 72.52 ,,,
period1,sc01,t0332, 71.81 ,,,
period1,sc01,t0333, 70.11 ,,,
period1,sc01,t0334, 68.4 ,,,
period1,sc01,t0335, 65.54 ,,,
period1,sc01,t0336, 60 ,,,
period1,sc01,t0337, 56.2 ,,,
period1,sc01,t0338, 54.9 ,,,
period1,sc01,t0339, 54.9 ,,,
period1,sc01,t0340, 54.9 ,,,
period1,sc01,t0341, 57.57 ,,,
period1,sc01,t0342, 66.01 ,,,
period1,sc01,t0343, 68.65 ,,,
period1,sc01,t0344, 70.16 ,,,
period1,sc01,t0345, 70.11 ,,,
period1,sc01,t0346, 71.04 ,,,
period1,sc01,t0347, 70.11 ,,,
period1,sc01,t0348, 69.43 ,,,
period1,sc01,t0349, 69.43 ,,,
period1,sc01,t0350, 69.13 ,,,
period1,sc01,t0351, 68.99 ,,,
period1,sc01,t0352, 69.08 ,,,
period1,sc01,t0353, 71.52 ,,,
period1,sc01,t0354, 74.05 ,,,
period1,sc01,t0355, 74.74 ,,,
period1,sc01,t0356, 72.92 ,,,
period1,sc01,t0357, 72.71 ,,,
period1,sc01,t0358, 71.88 ,,,
period1,sc01,t0359, 70.16 ,,,
period1,sc01,t0360, 70.16 ,,,
period1,sc01,t0361, 68.4 ,,,
period1,sc01,t0362, 66 ,,,
period1,sc01,t0363, 63.93 ,,,
period1,sc01,t0364, 61.07 ,,,
period1,sc01,t0365, 63.93 ,,,
period1,sc01,t0366, 68.07 ,,,
period1,sc01,t0367, 70.3 ,,,
period1,sc01,t0368, 71.69 ,,,
period1,sc01,t0369, 72.47 ,,,
period1,sc01,t0370, 72.2 ,,,
period1,sc01,t0371, 71.04 ,,,
period1,sc01,t0372, 70.04 ,,,
period1,sc01,t0373, 70 ,,,
period1,sc01,t0374, 68.71 ,,,
period1,sc01,t0375, 68.29 ,,,
period1,sc01,t0376, 68.29 ,,,
period1,sc01,t0377, 69.59 ,,,
period1,sc01,t0378, 72.33 ,,,
period1,sc01,t0379, 72.95 ,,,
period1,sc01,t0380, 72.2 ,,,
period1,sc01,t0381, 72.99 ,,,
period1,sc01,t0382, 71.59 ,,,
period1,sc01,t0383, 70 ,,,
period1,sc01,t0384, 67.36 ,,,
period1,sc01,t0385, 65.54 ,,,
period1,sc01,t0386, 58.9 ,,,
period1,sc01,t0387, 55 ,,,
period1,sc01,t0388, 52.2 ,,,
period1,sc01,t0389, 54.1 ,,,
period1,sc01,t0390, 60.02 ,,,
period1,sc01,t0391, 67.07 ,,,
period1,sc01,t0392, 68.17 ,,,
period1,sc01,t0393, 68.13 ,,,
period1,sc01,t0394, 68.07 ,,,
period1,sc01,t0395, 67.46 ,,,
period1,sc01,t0396, 67.16 ,,,
period1,sc01,t0397, 67.01 ,,,
period1,sc01,t0398, 65.18 ,,,
period1,sc01,t0399, 65.08 ,,,
period1,sc01,t0400, 66.26 ,,,
period1,sc01,t0401, 68.25 ,,,
period1,sc01,t0402, 72.09 ,,,
period1,sc01,t0403, 73.45 ,,,
period1,sc01,t0404, 70.84 ,,,
period1,sc01,t0405, 70.11 ,,,
period1,sc01,t0406, 68.74 ,,,
period1,sc01,t0407, 68.12 ,,,
period1,sc01,t0408, 68.1 ,,,
period1,sc01,t0409, 66.05 ,,,
period1,sc01,t0410, 61.87 ,,,
period1,sc01,t0411, 58.85 ,,,
period1,sc01,t0412, 58.07 ,,,
period1,sc01,t0413, 61.06 ,,,
period1,sc01,t0414, 66.31 ,,,
period1,sc01,t0415, 71.35 ,,,
period1,sc01,t0416, 71.94 ,,,
period1,sc01,t0417, 71.95 ,,,
period1,sc01,t0418, 72.01 ,,,
period1,sc01,t0419, 71.2 ,,,
period1,sc01,t0420, 69.74 ,,,
period1,sc01,t0421, 68.6 ,,,
period1,sc01,t0422, 67.44 ,,,
period1,sc01,t0423, 68.14 ,,,
period1,sc01,t0424, 69 ,,,
period1,sc01,t0425, 70.11 ,,,
period1,sc01,t0426, 70.74 ,,,
period1,sc01,t0427, 71.69 ,,,
period1,sc01,t0428, 70.74 ,,,
period1,sc01,t0429, 69.69 ,,,
period1,sc01,t0430, 68.5 ,,,
period1,sc01,t0431, 68.36 ,,,
period1,sc01,t0432, 70.16 ,,,
period1,sc01,t0433, 68.4 ,,,
period1,sc01,t0434, 64.11 ,,,
period1,sc01,t0435, 59.2 ,,,
period1,sc01,t0436, 55.55 ,,,
period1,sc01,t0437, 56.6 ,,,
period1,sc01,t0438, 57.96 ,,,
period1,sc01,t0439, 62.84 ,,,
period1,sc01,t0440, 65.48 ,,,
period1,sc01,t0441, 68.71 ,,,
period1,sc01,t0442, 68.5 ,,,
period1,sc01,t0443, 68.25 ,,,
period1,sc01,t0444, 66.95 ,,,
period1,sc01,t0445, 64.2 ,,,
period1,sc01,t0446, 63.93 ,,,
period1,sc01,t0447, 61.73 ,,,
period1,sc01,t0448, 62.93 ,,,
period1,sc01,t0449, 66.4 ,,,
period1,sc01,t0450, 68.71 ,,,
period1,sc01,t0451, 70 ,,,
period1,sc01,t0452, 67.56 ,,,
period1,sc01,t0453, 66.42 ,,,
period1,sc01,t0454, 66.02 ,,,
period1,sc01,t0455, 63.5 ,,,
period1,sc01,t0456, 66.69 ,,,
period1,sc01,t0457, 63.41 ,,,
period1,sc01,t0458, 60.44 ,,,
period1,sc01,t0459, 54.6 ,,,
period1,sc01,t0460, 51.52 ,,,
period1,sc01,t0461, 51.71 ,,,
period1,sc01,t0462, 51.98 ,,,
period1,sc01,t0463, 54.72 ,,,
period1,sc01,t0464, 54.47 ,,,
period1,sc01,t0465, 62.91 ,,,
period1,sc01,t0466, 66.3 ,,,
period1,sc01,t0467, 66.15 ,,,
period1,sc01,t0468, 65.12 ,,,
period1,sc01,t0469, 62.41 ,,,
period1,sc01,t0470, 58.57 ,,,
period1,sc01,t0471, 55.39 ,,,
period1,sc01,t0472, 58.02 ,,,
period1,sc01,t0473, 66.68 ,,,
period1,sc01,t0474, 69 ,,,
period1,sc01,t0475, 70.11 ,,,
period1,sc01,t0476, 70.01 ,,,
period1,sc01,t0477, 69.08 ,,,
period1,sc01,t0478, 68.21 ,,,
period1,sc01,t0479, 64.5 ,,,
period1,sc01,t0480, 55.54 ,,,
period1,sc01,t0481, 53.02 ,,,
period1,sc01,t0482, 52.1 ,,,
period1,sc01,t0483, 51.31 ,,,
period1,sc01,t0484, 51.14 ,,,
period1,sc01,t0485, 53.23 ,,,
period1,sc01,t0486, 64.45 ,,,
period1,sc01,t0487, 68.87 ,,,
period1,sc01,t0488, 70.75 ,,,
period1,sc01,t0489, 71.94 ,,,
period1,sc01,t0490, 71.69 ,,,
period1,sc01,t0491, 70.47 ,,,
period1,sc01,t0492, 70 ,,,
period1,sc01,t0493, 69 ,,,
period1,sc01,t0494, 68.3 ,,,
period1,sc01,t0495, 68.25 ,,,
period1,sc01,t0496, 68.4 ,,,
period1,sc01,t0497, 70 ,,,
period1,sc01,t0498, 71.69 ,,,
period1,sc01,t0499, 73.15 ,,,
period1,sc01,t0500, 73.9 ,,,
period1,sc01,t0501, 71.05 ,,,
period1,sc01,t0502, 69.01 ,,,
period1,sc01,t0503, 67.02 ,,,
period1,sc01,t0504, 63.93 ,,,
period1,sc01,t0505, 58.71 ,,,
period1,sc01,t0506, 56.68 ,,,
period1,sc01,t0507, 52.92 ,,,
period1,sc01,t0508, 52.1 ,,,
period1,sc01,t0509, 54.67 ,,,
period1,sc01,t0510, 63.57 ,,,
period1,sc01,t0511, 70.01 ,,,
period1,sc01,t0512, 70.47 ,,,
period1,sc01,t0513, 71.2 ,,,
period1,sc01,t0514, 70.9 ,,,
period1,sc01,t0515, 70.11 ,,,
period1,sc01,t0516, 69.56 ,,,
period1,sc01,t0517, 68.4 ,,,
period1,sc01,t0518, 67.01 ,,,
period1,sc01,t0519, 64.24 ,,,
period1,sc01,t0520, 63.93 ,,,
period1,sc01,t0521, 64.8 ,,,
period1,sc01,t0522, 68.12 ,,,
period1,sc01,t0523, 69.56 ,,,
period1,sc01,t0524, 70.1 ,,,
period1,sc01,t0525, 68.71 ,,,
period1,sc01,t0526, 66.52 ,,,
period1,sc01,t0527, 53.02 ,,,
period1,sc01,t0528, 51.57 ,,,
period1,sc01,t0529, 51 ,,,
period1,sc01,t0530, 50 ,,,
period1,sc01,t0531, 49.56 ,,,
period1,sc01,t0532, 49.05 ,,,
period1,sc01,t0533, 49.49 ,,,
period1,sc01,t0534, 50.41 ,,,
period1,sc01,t0535, 63 ,,,
period1,sc01,t0536, 66.58 ,,,
period1,sc01,t0537, 67.31 ,,,
period1,sc01,t0538, 67.27 ,,,
period1,sc01,t0539, 66.96 ,,,
period1,sc01,t0540, 66.16 ,,,
period1,sc01,t0541, 65.04 ,,,
period1,sc01,t0542, 60.45 ,,,
period1,sc01,t0543, 58.99 ,,,
period1,sc01,t0544, 59.88 ,,,
period1,sc01,t0545, 63.93 ,,,
period1,sc01,t0546, 66.96 ,,,
period1,sc01,t0547, 68.07 ,,,
period1,sc01,t0548, 68.89 ,,,
period1,sc01,t0549, 68.4 ,,,
period1,sc01,t0550, 66.52 ,,,
period1,sc01,t0551, 52.28 ,,,
period1,sc01,t0552, 50.91 ,,,
period1,sc01,t0553, 50.19 ,,,
period1,sc01,t0554, 49.56 ,,,
period1,sc01,t0555, 49.05 ,,,
period1,sc01,t0556, 49.24 ,,,
period1,sc01,t0557, 50 ,,,
period1,sc01,t0558, 50.55 ,,,
period1,sc01,t0559, 61.3 ,,,
period1,sc01,t0560, 66.67 ,,,
period1,sc01,t0561, 67.85 ,,,
period1,sc01,t0562, 68.01 ,,,
period1,sc01,t0563, 67.24 ,,,
period1,sc01,t0564, 65.83 ,,,
period1,sc01,t0565, 64.23 ,,,
period1,sc01,t0566, 60 ,,,
period1,sc01,t0567, 58.61 ,,,
period1,sc01,t0568, 60.45 ,,,
period1,sc01,t0569, 65.8 ,,,
period1,sc01,t0570, 68.36 ,,,
period1,sc01,t0571, 70 ,,,
period1,sc01,t0572, 70.13 ,,,
period1,sc01,t0573, 69.71 ,,,
period1,sc01,t0574, 68.01 ,,,
period1,sc01,t0575, 63.34 ,,,
period1,sc01,t0576, 52.39 ,,,
period1,sc01,t0577, 52.55 ,,,
period1,sc01,t0578, 51.97 ,,,
period1,sc01,t0579, 51.77 ,,,
period1,sc01,t0580, 51.78 ,,,
period1,sc01,t0581, 52.15 ,,,
period1,sc01,t0582, 52.55 ,,,
period1,sc01,t0583, 65.01 ,,,
period1,sc01,t0584, 68.25 ,,,
period1,sc01,t0585, 69.08 ,,,
period1,sc01,t0586, 68.77 ,,,
period1,sc01,t0587, 68.25 ,,,
period1,sc01,t0588, 67.57 ,,,
period1,sc01,t0589, 66.54 ,,,
period1,sc01,t0590, 63.87 ,,,
period1,sc01,t0591, 62.5 ,,,
period1,sc01,t0592, 63.87 ,,,
period1,sc01,t0593, 66.02 ,,,
period1,sc01,t0594, 68.77 ,,,
period1,sc01,t0595, 69.69 ,,,
period1,sc01,t0596, 67.63 ,,,
period1,sc01,t0597, 63.75 ,,,
period1,sc01,t0598, 62.96 ,,,
period1,sc01,t0599, 59.99 ,,,
period1,sc01,t0600, 60.73 ,,,
period1,sc01,t0601, 54.69 ,,,
period1,sc01,t0602, 53.14 ,,,
period1,sc01,t0603, 50.97 ,,,
period1,sc01,t0604, 51.5 ,,,
period1,sc01,t0605, 52.44 ,,,
period1,sc01,t0606, 54.47 ,,,
period1,sc01,t0607, 60 ,,,
period1,sc01,t0608, 63.75 ,,,
period1,sc01,t0609, 67.01 ,,,
period1,sc01,t0610, 68.4 ,,,
period1,sc01,t0611, 68.01 ,,,
period1,sc01,t0612, 66.01 ,,,
period1,sc01,t0613, 66.03 ,,,
period1,sc01,t0614, 64.8 ,,,
period1,sc01,t0615, 63.56 ,,,
period1,sc01,t0616, 60.98 ,,,
period1,sc01,t0617, 64.01 ,,,
period1,sc01,t0618, 68.07 ,,,
period1,sc01,t0619, 68.5 ,,,
period1,sc01,t0620, 68.25 ,,,
period1,sc01,t0621, 66.5 ,,,
period1,sc01,t0622, 60.07 ,,,
period1,sc01,t0623, 54.12 ,,,
period1,sc01,t0624, 57.04 ,,,
period1,sc01,t0625, 47.97 ,,,
period1,sc01,t0626, 44.1 ,,,
period1,sc01,t0627, 31.5 ,,,
period1,sc01,t0628, 25.54 ,,,
period1,sc01,t0629, 24.94 ,,,
period1,sc01,t0630, 19.74 ,,,
period1,sc01,t0631, 28.51 ,,,
period1,sc01,t0632, 33.14 ,,,
period1,sc01,t0633, 40.84 ,,,
period1,sc01,t0634, 44.63 ,,,
period1,sc01,t0635, 47.23 ,,,
period1,sc01,t0636, 46.97 ,,,
period1,sc01,t0637, 43.24 ,,,
period1,sc01,t0638, 41.31 ,,,
period1,sc01,t0639, 40.5 ,,,
period1,sc01,t0640, 41.18 ,,,
period1,sc01,t0641, 47.2 ,,,
period1,sc01,t0642, 52.64 ,,,
period1,sc01,t0643, 59.2 ,,,
period1,sc01,t0644, 62.07 ,,,
period1,sc01,t0645, 64.18 ,,,
period1,sc01,t0646, 60.02 ,,,
period1,sc01,t0647, 51.82 ,,,
period1,sc01,t0648, 45.33 ,,,
period1,sc01,t0649, 40.97 ,,,
period1,sc01,t0650, 40.42 ,,,
period1,sc01,t0651, 37.8 ,,,
period1,sc01,t0652, 38.09 ,,,
period1,sc01,t0653, 41.83 ,,,
period1,sc01,t0654, 48.35 ,,,
period1,sc01,t0655, 64.04 ,,,
period1,sc01,t0656, 65.1 ,,,
period1,sc01,t0657, 65 ,,,
period1,sc01,t0658, 63.96 ,,,
period1,sc01,t0659, 57.44 ,,,
period1,sc01,t0660, 57.97 ,,,
period1,sc01,t0661, 54.95 ,,,
period1,sc01,t0662, 52.3 ,,,
period1,sc01,t0663, 51.49 ,,,
period1,sc01,t0664, 53.97 ,,,
period1,sc01,t0665, 62.38 ,,,
period1,sc01,t0666, 68.45 ,,,
period1,sc01,t0667, 70.01 ,,,
period1,sc01,t0668, 68.65 ,,,
period1,sc01,t0669, 67.18 ,,,
