Period,Scenario,LoadLevel,Unit,Component,Date,MW
period1,sc01,t0137,BESS_01,vEleReserveProd_Up_SR,2024-09-22 04:29:00,0.0
period1,sc01,t0137,BESS_01,vEleReserveProd_Up_TR,2024-09-22 04:29:00,0.0
period1,sc01,t0137,BESS_01,vEleReserveProd_Down_SR,2024-09-22 04:29:00,0.0
period1,sc01,t0137,BESS_01,vEleReserveProd_Down_TR,2024-09-22 04:29:00,0.0
period1,sc01,t0138,BESS_01,vEleReserveCons_Up_SR,2024-09-22 05:29:00,0.0
period1,sc01,t0138,BESS_01,vEleReserveCons_Up_TR,2024-09-22 05:29:00,0.0
period1,sc01,t0138,BESS_01,vEleReserveCons_Down_SR,2024-09-22 05:29:00,0.0
period1,sc01,t0138,BESS_01,vEleReserveCons_Down_TR,2024-09-22 05:29:00,0.0
period1,sc01,t0138,BESS_01,vEleReserveProd_Up_SR,2024-09-22 05:29:00,0.0
period1,sc01,t0138,BESS_01,vEleReserveProd_Up_TR,2024-09-22 05:29:00,0.0
period1,sc01,t0138,BESS_01,vEleReserveProd_Down_SR,2024-09-22 05:29:00,0.0
period1,sc01,t0138,BESS_01,vEleReserveProd_Down_TR,2024-09-22 05:29:00,0.0
period1,sc01,t0139,BESS_01,vEleReserveCons_Up_SR,2024-09-22 06:29:00,0.0
