Period,Scenario,LoadLevel,Unit,Component,Date,MW
period1,sc01,t0110,BESS_01,vEleReserveCons_Up_SR,2024-09-21 01:29:00,0.0
period1,sc01,t0110,BESS_01,vEleReserveCons_Up_TR,2024-09-21 01:29:00,0.0
period1,sc01,t0110,BESS_01,vEleReserveCons_Down_SR,2024-09-21 01:29:00,0.0
period1,sc01,t0110,BESS_01,vEleReserveCons_Down_TR,2024-09-21 01:29:00,0.0
period1,sc01,t0110,BESS_01,vEleReserveProd_Up_SR,2024-09-21 01:29:00,0.0
period1,sc01,t0110,BESS_01,vEleReserveProd_Up_TR,2024-09-21 01:29:00,0.0
period1,sc01,t0110,BESS_01,vEleReserveProd_Down_SR,2024-09-21 01:29:00,0.0
period1,sc01,t0110,BESS_01,vEleReserveProd_Down_TR,2024-09-21 01:29:00,0.0
period1,sc01,t0111,BESS_01,vEleReserveCons_Up_SR,2024-09-21 02:29:00,0.0
period1,sc01,t0111,BESS_01,vEleReserveCons_Up_TR,2024-09-21 02:29:00,0.0
period1,sc01,t0111,BESS_01,vEleReserveCons_Down_SR,2024-09-21 02:29:00,0.0
period1,sc01,t0111,BESS_01,vEleReserveCons_Down_TR,2024-09-21 02:29:00,0.0
period1,sc01,t0111,BESS_01,vEleReserveProd_Up_SR,2024-09-21 02:29:00,0.0
period1,sc01,t0111,BESS_01,vEleReserveProd_Up_TR,2024-09-21 02:29:00,0.0
period1,sc01,t0111,BESS_01,vEleReserveProd_Down_SR,2024-09-21 02:29:00,0.0
period1,sc01,t0111,BESS_01,vEleReserveProd_Down_TR,2024-09-21 02:29:00,0.0
period1,sc01,t0112,BESS_01,vEleReserveCons_Up_SR,2024-09-21 03:29:00,0.0
period1,sc01,t0112,BESS_01,vEleReserveCons_Up_TR,2024-09-21 03:29:00,0.0
period1,sc01,t0112,BESS_01,vEleReserveCons_Down_SR,2024-09-21 03:29:00,0.0
period1,sc01,t0112,BESS_01,vEleReserveCons_Down_TR,2024-09-21 03:29:00,0.0
period1,sc01,t0112,BESS_01,vEleReserveProd_Up_SR,2024-09-21 03:29:00,0.0
period1,sc01,t0112,BESS_01,vEleReserveProd_Up_TR,2024-09-21 03:29:00,0.0
period1,sc01,t0112,BESS_01,vEleReserveProd_Down_SR,2024-09-21 03:29:00,0.0
period1,sc01,t0112,BESS_01,vEleReserveProd_Down_TR,2024-09-21 03:29:00,0.0
period1,sc01,t0113,BESS_01,vEleReserveCons_Up_SR,2024-09-21 04:29:00,0.0
period1,sc01,t0113,BESS_01,vEleReserveCons_Up_TR,2024-09-21 04:29:00,0.0
period1,sc01,t0113,BESS_01,vEleReserveCons_Down_SR,2024-09-21 04:29:00,0.0
period1,sc01,t0113,BESS_01,vEleReserveCons_Down_TR,2024-09-21 04:29:00,0.0
period1,sc01,t0113,BESS_01,vEleReserveProd_Up_SR,2024-09-21 04:29:00,0.0
period1,sc01,t0113,BESS_01,vEleReserveProd_Up_TR,2024-09-21 04:29:00,0.0
period1,sc01,t0113,BESS_01,vEleReserveProd_Down_SR,2024-09-21 04:29:00,0.0
period1,sc01,t0113,BESS_01,vEleReserveProd_Down_TR,2024-09-21 04:29:00,0.0
period1,sc01,t0114,BESS_01,vEleReserveCons_Up_SR,2024-09-21 05:29:00,0.0
period1,sc01,t0114,BESS_01,vEleReserveCons_Up_TR,2024-09-21 05:29:00,0.0
period1,sc01,t0114,BESS_01,vEleReserveCons_Down_SR,2024-09-21 05:29:00,0.0
period1,sc01,t0114,BESS_01,vEleReserveCons_Down_TR,2024-09-21 05:29:00,0.0
period1,sc01,t0114,BESS_01,vEleReserveProd_Up_SR,2024-09-21 05:29:00,0.0
period1,sc01,t0114,BESS_01,vEleReserveProd_Up_TR,2024-09-21 05:29:00,0.0
period1,sc01,t0114,BESS_01,vEleReserveProd_Down_SR,2024-09-21 05:29:00,0.0
period1,sc01,t0114,BESS_01,vEleReserveProd_Down_TR,2024-09-21 05:29:00,0.0
period1,sc01,t0115,BESS_01,vEleReserveCons_Up_SR,2024-09-21 06:29:00,0.0
period1,sc01,t0115,BESS_01,vEleReserveCons_Up_TR,2024-09-21 06:29:00,0.0
period1,sc01,t0115,BESS_01,vEleReserveCons_Down_SR,2024-09-21 06:29:00,0.0
period1,sc01,t0115,BESS_01,vEleReserveCons_Down_TR,2024-09-21 06:29:00,0.0
period1,sc01,t0115,BESS_01,vEleReserveProd_Up_SR,2024-09-21 06:29:00,0.0
period1,sc01,t0115,BESS_01,vEleReserveProd_Up_TR,2024-09-21 06:29:00,0.0
period1,sc01,t0115,BESS_01,vEleReserveProd_Down_SR,2024-09-21 06:29:00,0.0
period1,sc01,t0115,BESS_01,vEleReserveProd_Down_TR,2024-09-21 06:29:00,0.0
period1,sc01,t0116,BESS_01,vEleReserveCons_Up_SR,2024-09-21 07:29:00,0.0
period1,sc01,t0116,BESS_01,vEleReserveCons_Up_TR,2024-09-21 07:29:00,0.0
period1,sc01,t0116,BESS_01,vEleReserveCons_Down_SR,2024-09-21 07:29:00,0.0
period1,sc01,t0116,BESS_01,vEleReserveCons_Down_TR,2024-09-21 07:29:00,0.0
period1,sc01,t0116,BESS_01,vEleReserveProd_Up_SR,2024-09-21 07:29:00,0.0
period1,sc01,t0116,BESS_01,vEleReserveProd_Up_TR,2024-09-21 07:29:00,0.0
period1,sc01,t0116,BESS_01,vEleReserveProd_Down_SR,2024-09-21 07:29:00,0.0
period1,sc01,t0116,BESS_01,vEleReserveProd_Down_TR,2024-09-21 07:29:00,0.0
period1,sc01,t0117,BESS_01,vEleReserveCons_Up_SR,2024-09-21 08:29:00,0.0
period1,sc01,t0117,BESS_01,vEleReserveCons_Up_TR,2024-09-21 08:29:00,0.0
period1,sc01,t0117,BESS_01,vEleReserveCons_Down_SR,2024-09-21 08:29:00,0.0
period1,sc01,t0117,BESS_01,vEleReserveCons_Down_TR,2024-09-21 08:29:00,0.0
period1,sc01,t0117,BESS_01,vEleReserveProd_Up_SR,2024-09-21 08:29:00,0.0
period1,sc01,t0117,BESS_01,vEleReserveProd_Up_TR,2024-09-21 08:29:00,0.0
period1,sc01,t0117,BESS_01,vEleReserveProd_Down_SR,2024-09-21 08:29:00,0.0
period1,sc01,t0117,BESS_01,vEleReserveProd_Down_TR,2024-09-21 08:29:00,0.0
period1,sc01,t0118,BESS_01,vEleReserveCons_Up_SR,2024-09-21 09:29:00,0.0
period1,sc01,t0118,BESS_01,vEleReserveCons_Up_TR,2024-09-21 09:29:00,0.0
period1,sc01,t0118,BESS_01,vEleReserveCons_Down_SR,2024-09-21 09:29:00,0.0
period1,sc01,t0118,BESS_01,vEleReserveCons_Down_TR,2024-09-21 09:29:00,0.0
period1,sc01,t0118,BESS_01,vEleReserveProd_Up_SR,2024-09-21 09:29:00,0.0
period1,sc01,t0118,BESS_01,vEleReserveProd_Up_TR,2024-09-21 09:29:00,0.0
period1,sc01,t0118,BESS_01,vEleReserveProd_Down_SR,2024-09-21 09:29:00,0.0
period1,sc01,t0118,BESS_01,vEleReserveProd_Down_TR,2024-09-21 09:29:00,0.0
period1,sc01,t0119,BESS_01,vEleReserveCons_Up_SR,2024-09-21 10:29:00,0.0
