,,,Node1,Node2,Node3,Node4
period1,sc01,t0123,, 2.5 , 2.5 ,
period1,sc01,t0124,, 2.5 , 2.5 ,
period1,sc01,t0125,, 2.5 , 2.5 ,
period1,sc01,t0126,, 2.5 , 2.5 ,
period1,sc01,t0127,, 2.5 , 2.5 ,
period1,sc01,t0128,, 2.5 , 2.5 ,
period1,sc01,t0129,, 2.5 , 2.5 ,
period1,sc01,t0130,, 2.5 , 2.5 ,
period1,sc01,t0131,, 2.5 , 2.5 ,
period1,sc01,t0132,, 2.5 , 2.5 ,
period1,sc01,t0133,, 2.5 , 2.5 ,
period1,sc01,t0134,, 2.5 , 2.5 ,
period1,sc01,t0135,, 2.5 , 2.5 ,
period1,sc01,t0136,, 2.5 , 2.5 ,
period1,sc01,t0137,, 2.5 , 2.5 ,
period1,sc01,t0138,, 2.5 , 2.5 ,
period1,sc01,t0139,, 2.5 , 2.5 ,
period1,sc01,t0140,, 2.5 , 2.5 ,
period1,sc01,t0141,, 2.5 , 2.5 ,
period1,sc01,t0142,, 2.5 , 2.5 ,
period1,sc01,t0143,, 2.5 , 2.5 ,
period1,sc01,t0144,, 2.5 , 2.5 ,
period1,sc01,t0145,, 2.5 , 2.5 ,
period1,sc01,t0146,, 2.5 , 2.5 ,
period1,sc01,t0147,, 2.5 , 2.5 ,
period1,sc01,t0148,, 2.5 , 2.5 ,
period1,sc01,t0149,, 2.5 , 2.5 ,
period1,sc01,t0150,, 2.5 , 2.5 ,
period1,sc01,t0151,, 2.5 , 2.5 ,
period1,sc01,t0152,, 2.5 , 2.5 ,
period1,sc01,t0153,, 2.5 , 2.5 ,
period1,sc01,t0154,, 2.5 , 2.5 ,
period1,sc01,t0155,, 2.5 , 2.5 ,
period1,sc01,t0156,, 2.5 , 2.5 ,
period1,sc01,t0157,, 2.5 , 2.5 ,
period1,sc01,t0158,, 2.5 , 2.5 ,
period1,sc01,t0159,, 2.5 , 2.5 ,
period1,sc01,t0160,, 2.5 , 2.5 ,
period1,sc01,t0161,, 2.5 , 2.5 ,
period1,sc01,t0162,, 2.5 , 2.5 ,
period1,sc01,t0163,, 2.5 , 2.5 ,
