,,,Tariff
period1,sc01,t0113, 6 
period1,sc01,t0114, 6 
period1,sc01,t0115, 6 
period1,sc01,t0116, 6 
period1,sc01,t0117, 6 
period1,sc01,t0118, 6 
period1,sc01,t0119, 6 
period1,sc01,t0120, 6 
period1,sc01,t0121, 6 
period1,sc01,t0122, 6 
period1,sc01,t0123, 6 
period1,sc01,t0124, 6 
period1,sc01,t0125, 6 
period1,sc01,t0126, 6 
period1,sc01,t0127, 6 
period1,sc01,t0128, 6 
period1,sc01,t0129, 6 
period1,sc01,t0130, 6 
period1,sc01,t0131, 6 
period1,sc01,t0132, 6 
period1,sc01,t0133, 6 
period1,sc01,t0134, 6 
period1,sc01,t0135, 6 
period1,sc01,t0136, 6 
period1,sc01,t0137, 6 
period1,sc01,t0138, 6 
period1,sc01,t0139, 6 
period1,sc01,t0140, 6 
period1,sc01,t0141, 6 
period1,sc01,t0142, 6 
period1,sc01,t0143, 6 
period1,sc01,t0144, 6 
period1,sc01,t0145, 6 
period1,sc01,t0146, 6 
period1,sc01,t0147, 6 
period1,sc01,t0148, 6 
period1,sc01,t0149, 6 
period1,sc01,t0150, 6 
period1,sc01,t0151, 6 
period1,sc01,t0152, 6 
period1,sc01,t0153, 2 
period1,sc01,t0154, 1 
period1,sc01,t0155, 1 
period1,sc01,t0156, 1 
period1,sc01,t0157, 1 
period1,sc01,t0158, 1 
period1,sc01,t0159, 2 
period1,sc01,t0160, 2 
period1,sc01,t0161, 2 
period1,sc01,t0162, 2 
period1,sc01,t0163, 1 
period1,sc01,t0164, 1 
period1,sc01,t0165, 1 
period1,sc01,t0166, 1 
period1,sc01,t0167, 2 
period1,sc01,t0168, 2 
period1,sc01,t0169, 6 
period1,sc01,t0170, 6 
period1,sc01,t0171, 6 
period1,sc01,t0172, 6 
period1,sc01,t0173, 6 
period1,sc01,t0174, 6 
period1,sc01,t0175, 6 
period1,sc01,t0176, 6 
period1,sc01,t0177, 2 
period1,sc01,t0178, 1 
period1,sc01,t0179, 1 
period1,sc01,t0180, 1 
period1,sc01,t0181, 1 
period1,sc01,t0182, 1 
period1,sc01,t0183, 2 
period1,sc01,t0184, 2 
period1,sc01,t0185, 2 
period1,sc01,t0186, 2 
period1,sc01,t0187, 1 
period1,sc01,t0188, 1 
period1,sc01,t0189, 1 
period1,sc01,t0190, 1 
period1,sc01,t0191, 2 
period1,sc01,t0192, 2 
period1,sc01,t0193, 6 
period1,sc01,t0194, 6 
period1,sc01,t0195, 6 
period1,sc01,t0196, 6 
period1,sc01,t0197, 6 
period1,sc01,t0198, 6 
period1,sc01,t0199, 6 
period1,sc01,t0200, 6 
period1,sc01,t0201, 2 
period1,sc01,t0202, 1 
period1,sc01,t0203, 1 
period1,sc01,t0204, 1 
period1,sc01,t0205, 1 
period1,sc01,t0206, 1 
period1,sc01,t0207, 2 
period1,sc01,t0208, 2 
period1,sc01,t0209, 2 
period1,sc01,t0210, 2 
period1,sc01,t0211, 1 
period1,sc01,t0212, 1 
period1,sc01,t0213, 1 
period1,sc01,t0214, 1 
period1,sc01,t0215, 2 
period1,sc01,t0216, 2 
period1,sc01,t0217, 6 
period1,sc01,t0218, 6 
period1,sc01,t0219, 6 
period1,sc01,t0220, 6 
period1,sc01,t0221, 6 
period1,sc01,t0222, 6 
period1,sc01,t0223, 6 
period1,sc01,t0224, 6 
period1,sc01,t0225, 2 
period1,sc01,t0226, 1 
period1,sc01,t0227, 1 
period1,sc01,t0228, 1 
period1,sc01,t0229, 1 
period1,sc01,t0230, 1 
period1,sc01,t0231, 2 
period1,sc01,t0232, 2 
period1,sc01,t0233, 2 
period1,sc01,t0234, 2 
period1,sc01,t0235, 1 
period1,sc01,t0236, 1 
period1,sc01,t0237, 1 
period1,sc01,t0238, 1 
period1,sc01,t0239, 2 
period1,sc01,t0240, 2 
period1,sc01,t0241, 6 
period1,sc01,t0242, 6 
period1,sc01,t0243, 6 
period1,sc01,t0244, 6 
period1,sc01,t0245, 6 
period1,sc01,t0246, 6 
period1,sc01,t0247, 6 
period1,sc01,t0248, 6 
period1,sc01,t0249, 2 
period1,sc01,t0250, 1 
period1,sc01,t0251, 1 
period1,sc01,t0252, 1 
period1,sc01,t0253, 1 
period1,sc01,t0254, 1 
period1,sc01,t0255, 2 
period1,sc01,t0256, 2 
period1,sc01,t0257, 2 
period1,sc01,t0258, 2 
period1,sc01,t0259, 1 
period1,sc01,t0260, 1 
period1,sc01,t0261, 1 
period1,sc01,t0262, 1 
period1,sc01,t0263, 2 
period1,sc01,t0264, 2 
period1,sc01,t0265, 6 
period1,sc01,t0266, 6 
period1,sc01,t0267, 6 
period1,sc01,t0268, 6 
period1,sc01,t0269, 6 
period1,sc01,t0270, 6 
period1,sc01,t0271, 6 
period1,sc01,t0272, 6 
period1,sc01,t0273, 6 
period1,sc01,t0274, 6 
period1,sc01,t0275, 6 
period1,sc01,t0276, 6 
period1,sc01,t0277, 6 
period1,sc01,t0278, 6 
period1,sc01,t0279, 6 
period1,sc01,t0280, 6 
period1,sc01,t0281, 6 
period1,sc01,t0282, 6 
period1,sc01,t0283, 6 
period1,sc01,t0284, 6 
period1,sc01,t0285, 6 
period1,sc01,t0286, 6 
period1,sc01,t0287, 6 
period1,sc01,t0288, 6 
period1,sc01,t0289, 6 
period1,sc01,t0290, 6 
period1,sc01,t0291, 6 
period1,sc01,t0292, 6 
period1,sc01,t0293, 6 
period1,sc01,t0294, 6 
period1,sc01,t0295, 6 
period1,sc01,t0296, 6 
period1,sc01,t0297, 6 
period1,sc01,t0298, 6 
period1,sc01,t0299, 6 
period1,sc01,t0300, 6 
period1,sc01,t0301, 6 
period1,sc01,t0302, 6 
period1,sc01,t0303, 6 
period1,sc01,t0304, 6 
period1,sc01,t0305, 6 
period1,sc01,t0306, 6 
period1,sc01,t0307, 6 
period1,sc01,t0308, 6 
period1,sc01,t0309, 6 
period1,sc01,t0310, 6 
period1,sc01,t0311, 6 
period1,sc01,t0312, 6 
period1,sc01,t0313, 6 
period1,sc01,t0314, 6 
period1,sc01,t0315, 6 
period1,sc01,t0316, 6 
period1,sc01,t0317, 6 
period1,sc01,t0318, 6 
period1,sc01,t0319, 6 
period1,sc01,t0320, 6 
period1,sc01,t0321, 2 
period1,sc01,t0322, 1 
period1,sc01,t0323, 1 
period1,sc01,t0324, 1 
period1,sc01,t0325, 1 
period1,sc01,t0326, 1 
period1,sc01,t0327, 2 
period1,sc01,t0328, 2 
period1,sc01,t0329, 2 
period1,sc01,t0330, 2 
period1,sc01,t0331, 1 
period1,sc01,t0332, 1 
period1,sc01,t0333, 1 
period1,sc01,t0334, 1 
period1,sc01,t0335, 2 
period1,sc01,t0336, 2 
period1,sc01,t0337, 6 
period1,sc01,t0338, 6 
period1,sc01,t0339, 6 
period1,sc01,t0340, 6 
period1,sc01,t0341, 6 
period1,sc01,t0342, 6 
period1,sc01,t0343, 6 
period1,sc01,t0344, 6 
period1,sc01,t0345, 2 
period1,sc01,t0346, 1 
period1,sc01,t0347, 1 
period1,sc01,t0348, 1 
period1,sc01,t0349, 1 
period1,sc01,t0350, 1 
period1,sc01,t0351, 2 
period1,sc01,t0352, 2 
period1,sc01,t0353, 2 
period1,sc01,t0354, 2 
period1,sc01,t0355, 1 
period1,sc01,t0356, 1 
period1,sc01,t0357, 1 
period1,sc01,t0358, 1 
period1,sc01,t0359, 2 
period1,sc01,t0360, 2 
period1,sc01,t0361, 6 
period1,sc01,t0362, 6 
period1,sc01,t0363, 6 
period1,sc01,t0364, 6 
period1,sc01,t0365, 6 
period1,sc01,t0366, 6 
period1,sc01,t0367, 6 
period1,sc01,t0368, 6 
period1,sc01,t0369, 2 
period1,sc01,t0370, 1 
period1,sc01,t0371, 1 
period1,sc01,t0372, 1 
period1,sc01,t0373, 1 
period1,sc01,t0374, 1 
period1,sc01,t0375, 2 
period1,sc01,t0376, 2 
period1,sc01,t0377, 2 
period1,sc01,t0378, 2 
period1,sc01,t0379, 1 
period1,sc01,t0380, 1 
period1,sc01,t0381, 1 
period1,sc01,t0382, 1 
period1,sc01,t0383, 2 
period1,sc01,t0384, 2 
period1,sc01,t0385, 6 
period1,sc01,t0386, 6 
period1,sc01,t0387, 6 
period1,sc01,t0388, 6 
period1,sc01,t0389, 6 
period1,sc01,t0390, 6 
period1,sc01,t0391, 6 
period1,sc01,t0392, 6 
period1,sc01,t0393, 2 
period1,sc01,t0394, 1 
period1,sc01,t0395, 1 
period1,sc01,t0396, 1 
period1,sc01,t0397, 1 
period1,sc01,t0398, 1 
period1,sc01,t0399, 2 
period1,sc01,t0400, 2 
period1,sc01,t0401, 2 
period1,sc01,t0402, 2 
period1,sc01,t0403, 1 
period1,sc01,t0404, 1 
period1,sc01,t0405, 1 
period1,sc01,t0406, 1 
period1,sc01,t0407, 2 
period1,sc01,t0408, 2 
period1,sc01,t0409, 6 
period1,sc01,t0410, 6 
period1,sc01,t0411, 6 
period1,sc01,t0412, 6 
period1,sc01,t0413, 6 
period1,sc01,t0414, 6 
period1,sc01,t0415, 6 
period1,sc01,t0416, 6 
period1,sc01,t0417, 2 
period1,sc01,t0418, 1 
period1,sc01,t0419, 1 
period1,sc01,t0420, 1 
period1,sc01,t0421, 1 
period1,sc01,t0422, 1 
period1,sc01,t0423, 2 
period1,sc01,t0424, 2 
period1,sc01,t0425, 2 
period1,sc01,t0426, 2 
period1,sc01,t0427, 1 
period1,sc01,t0428, 1 
period1,sc01,t0429, 1 
period1,sc01,t0430, 1 
period1,sc01,t0431, 2 
period1,sc01,t0432, 2 
period1,sc01,t0433, 6 
