,Period,Scenario,LoadLevel,Date,Component,MW
78,period1,sc01,t0040,2024-09-18 03:29:00,BESS,0.0
79,period1,sc01,t0040,2024-09-18 03:29:00,Wind,22.99
80,period1,sc01,t0041,2024-09-18 04:29:00,BESS,0.0
81,period1,sc01,t0041,2024-09-18 04:29:00,Wind,24.3485
82,period1,sc01,t0042,2024-09-18 05:29:00,BESS,6.61552634236659
83,period1,sc01,t0042,2024-09-18 05:29:00,Wind,25.3935
84,period1,sc01,t0043,2024-09-18 06:29:00,BESS,0.0
85,period1,sc01,t0043,2024-09-18 06:29:00,Wind,23.199
86,period1,sc01,t0044,2024-09-18 07:29:00,BESS,0.0
87,period1,sc01,t0044,2024-09-18 07:29:00,Wind,20.5865
88,period1,sc01,t0045,2024-09-18 08:29:00,BESS,0.0
89,period1,sc01,t0045,2024-09-18 08:29:00,Wind,17.8695
90,period1,sc01,t0046,2024-09-18 09:29:00,BESS,0.0
91,period1,sc01,t0046,2024-09-18 09:29:00,Wind,14.003
92,period1,sc01,t0047,2024-09-18 10:29:00,BESS,0.0
93,period1,sc01,t0047,2024-09-18 10:29:00,Wind,9.823
94,period1,sc01,t0048,2024-09-18 11:29:00,BESS,1.4832368288167068
95,period1,sc01,t0048,2024-09-18 11:29:00,Wind,6.479
96,period1,sc01,t0049,2024-09-18 12:29:00,BESS,0.0
97,period1,sc01,t0049,2024-09-18 12:29:00,Wind,4.2845
98,period1,sc01,t0050,2024-09-18 13:29:00,BESS,0.0
99,period1,sc01,t0050,2024-09-18 13:29:00,Wind,2.717
100,period1,sc01,t0051,2024-09-18 14:29:00,BESS,0.0
101,period1,sc01,t0051,2024-09-18 14:29:00,Wind,1.7765000000000002
102,period1,sc01,t0052,2024-09-18 15:29:00,BESS,0.0
103,period1,sc01,t0052,2024-09-18 15:29:00,Wind,1.1495
104,period1,sc01,t0053,2024-09-18 16:29:00,BESS,0.0
105,period1,sc01,t0053,2024-09-18 16:29:00,Wind,0.836
106,period1,sc01,t0054,2024-09-18 17:29:00,BESS,0.0
107,period1,sc01,t0054,2024-09-18 17:29:00,Wind,1.881
108,period1,sc01,t0055,2024-09-18 18:29:00,BESS,1.9012368288167067
