Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,Date,MW
period1,sc01,t0001,Node1,Node2,c1,2024-09-16 12:29:00,0.003981118414408402
period1,sc01,t0001,Node2,Node3,c1,2024-09-16 12:29:00,1.6815350950549757e-07
period1,sc01,t0001,Node1,Node2,c2,2024-09-16 12:29:00,0.003981118414408402
period1,sc01,t0002,Node1,Node2,c1,2024-09-16 13:29:00,0.003981118414408402
period1,sc01,t0002,Node2,Node3,c1,2024-09-16 13:29:00,1.6815350950549757e-07
period1,sc01,t0002,Node1,Node2,c2,2024-09-16 13:29:00,0.003981118414408402
period1,sc01,t0003,Node1,Node2,c1,2024-09-16 14:29:00,0.003981118414408402
period1,sc01,t0003,Node2,Node3,c1,2024-09-16 14:29:00,1.6815350950549757e-07
period1,sc01,t0003,Node1,Node2,c2,2024-09-16 14:29:00,0.003981118414408402
period1,sc01,t0004,Node1,Node2,c1,2024-09-16 15:29:00,0.003981118414408402
period1,sc01,t0004,Node2,Node3,c1,2024-09-16 15:29:00,1.6815350950549757e-07
period1,sc01,t0004,Node1,Node2,c2,2024-09-16 15:29:00,0.003981118414408402
period1,sc01,t0005,Node1,Node2,c1,2024-09-16 16:29:00,0.003981118414408402
period1,sc01,t0005,Node2,Node3,c1,2024-09-16 16:29:00,1.6815350950549757e-07
period1,sc01,t0005,Node1,Node2,c2,2024-09-16 16:29:00,0.003981118414408402
period1,sc01,t0006,Node1,Node2,c1,2024-09-16 17:29:00,0.003981118414408402
period1,sc01,t0006,Node2,Node3,c1,2024-09-16 17:29:00,1.6815350950549757e-07
period1,sc01,t0006,Node1,Node2,c2,2024-09-16 17:29:00,0.003981118414408402
period1,sc01,t0007,Node1,Node2,c1,2024-09-16 18:29:00,0.003981118414408402
period1,sc01,t0007,Node2,Node3,c1,2024-09-16 18:29:00,1.6815350950549757e-07
period1,sc01,t0007,Node1,Node2,c2,2024-09-16 18:29:00,0.003981118414408402
period1,sc01,t0008,Node1,Node2,c1,2024-09-16 19:29:00,0.003981118414408402
period1,sc01,t0008,Node2,Node3,c1,2024-09-16 19:29:00,1.6815350950549757e-07
period1,sc01,t0008,Node1,Node2,c2,2024-09-16 19:29:00,0.003981118414408402
period1,sc01,t0009,Node1,Node2,c1,2024-09-16 20:29:00,0.003981118414408402
period1,sc01,t0009,Node2,Node3,c1,2024-09-16 20:29:00,1.6815350950549757e-07
period1,sc01,t0009,Node1,Node2,c2,2024-09-16 20:29:00,0.003981118414408402
period1,sc01,t0010,Node1,Node2,c1,2024-09-16 21:29:00,0.003981118414408402
period1,sc01,t0010,Node2,Node3,c1,2024-09-16 21:29:00,1.6815350950549757e-07
period1,sc01,t0010,Node1,Node2,c2,2024-09-16 21:29:00,0.003981118414408402
period1,sc01,t0011,Node1,Node2,c1,2024-09-16 22:29:00,0.003981118414408402
period1,sc01,t0011,Node2,Node3,c1,2024-09-16 22:29:00,1.6815350950549757e-07
period1,sc01,t0011,Node1,Node2,c2,2024-09-16 22:29:00,0.003981118414408402
period1,sc01,t0012,Node1,Node2,c1,2024-09-16 23:29:00,0.003981118414408402
period1,sc01,t0012,Node2,Node3,c1,2024-09-16 23:29:00,1.6815350950549757e-07
period1,sc01,t0012,Node1,Node2,c2,2024-09-16 23:29:00,0.003981118414408402
period1,sc01,t0013,Node1,Node2,c1,2024-09-17 00:29:00,0.003981118414408402
period1,sc01,t0013,Node2,Node3,c1,2024-09-17 00:29:00,1.6815350950549757e-07
period1,sc01,t0013,Node1,Node2,c2,2024-09-17 00:29:00,0.003981118414408402
period1,sc01,t0014,Node1,Node2,c1,2024-09-17 01:29:00,0.003981118414408402
period1,sc01,t0014,Node2,Node3,c1,2024-09-17 01:29:00,1.6815350950549757e-07
