Period,Scenario,LoadLevel,Component,Date,MEUR
period1,sc01,t0015,TotalRCost,2024-09-17 02:29:00,-0.0
period1,sc01,t0016,TotalMCost,2024-09-17 03:29:00,0.0
period1,sc01,t0016,TotalGCost,2024-09-17 03:29:00,4.99304055901094e-05
period1,sc01,t0016,TotalECost,2024-09-17 03:29:00,0.0
period1,sc01,t0016,TotalCCost,2024-09-17 03:29:00,0.0
period1,sc01,t0016,TotalRCost,2024-09-17 03:29:00,-0.0
period1,sc01,t0017,TotalMCost,2024-09-17 04:29:00,0.0
period1,sc01,t0017,TotalGCost,2024-09-17 04:29:00,5.00810360701094e-05
period1,sc01,t0017,TotalECost,2024-09-17 04:29:00,0.0
period1,sc01,t0017,TotalCCost,2024-09-17 04:29:00,0.0
period1,sc01,t0017,TotalRCost,2024-09-17 04:29:00,-0.0
period1,sc01,t0018,TotalMCost,2024-09-17 05:29:00,0.0
period1,sc01,t0018,TotalGCost,2024-09-17 05:29:00,5.07588732301094e-05
period1,sc01,t0018,TotalECost,2024-09-17 05:29:00,0.0
period1,sc01,t0018,TotalCCost,2024-09-17 05:29:00,0.0
period1,sc01,t0018,TotalRCost,2024-09-17 05:29:00,-0.0
period1,sc01,t0019,TotalMCost,2024-09-17 06:29:00,0.0
period1,sc01,t0019,TotalGCost,2024-09-17 06:29:00,5.15120256301094e-05
period1,sc01,t0019,TotalECost,2024-09-17 06:29:00,0.0
period1,sc01,t0019,TotalCCost,2024-09-17 06:29:00,0.0
period1,sc01,t0019,TotalRCost,2024-09-17 06:29:00,-0.0
period1,sc01,t0020,TotalMCost,2024-09-17 07:29:00,-0.0030453487208937885
period1,sc01,t0020,TotalGCost,2024-09-17 07:29:00,5.21898627901094e-05
period1,sc01,t0020,TotalECost,2024-09-17 07:29:00,0.0
period1,sc01,t0020,TotalCCost,2024-09-17 07:29:00,0.0
period1,sc01,t0020,TotalRCost,2024-09-17 07:29:00,-0.0
period1,sc01,t0021,TotalMCost,2024-09-17 08:29:00,-0.003160269769062447
period1,sc01,t0021,TotalGCost,2024-09-17 08:29:00,5.30183304301094e-05
period1,sc01,t0021,TotalECost,2024-09-17 08:29:00,0.0
period1,sc01,t0021,TotalCCost,2024-09-17 08:29:00,0.0
period1,sc01,t0021,TotalRCost,2024-09-17 08:29:00,-0.0
period1,sc01,t0022,TotalMCost,2024-09-17 09:29:00,-0.0007063518817417734
period1,sc01,t0022,TotalGCost,2024-09-17 09:29:00,5.4072743790109405e-05
period1,sc01,t0022,TotalECost,2024-09-17 09:29:00,0.0
period1,sc01,t0022,TotalCCost,2024-09-17 09:29:00,0.0
period1,sc01,t0022,TotalRCost,2024-09-17 09:29:00,-0.0
period1,sc01,t0023,TotalMCost,2024-09-17 10:29:00,0.0
period1,sc01,t0023,TotalGCost,2024-09-17 10:29:00,5.4976526670109404e-05
period1,sc01,t0023,TotalECost,2024-09-17 10:29:00,0.0
period1,sc01,t0023,TotalCCost,2024-09-17 10:29:00,0.0
period1,sc01,t0023,TotalRCost,2024-09-17 10:29:00,-0.0
period1,sc01,t0024,TotalMCost,2024-09-17 11:29:00,0.0
period1,sc01,t0024,TotalGCost,2024-09-17 11:29:00,5.5503733350109406e-05
period1,sc01,t0024,TotalECost,2024-09-17 11:29:00,0.0
period1,sc01,t0024,TotalCCost,2024-09-17 11:29:00,0.0
period1,sc01,t0024,TotalRCost,2024-09-17 11:29:00,-0.0
period1,sc01,t0025,TotalMCost,2024-09-17 12:29:00,0.0
period1,sc01,t0025,TotalGCost,2024-09-17 12:29:00,5.5654363830109404e-05
period1,sc01,t0025,TotalECost,2024-09-17 12:29:00,0.0
period1,sc01,t0025,TotalCCost,2024-09-17 12:29:00,0.0
period1,sc01,t0025,TotalRCost,2024-09-17 12:29:00,-0.0
period1,sc01,t0026,TotalMCost,2024-09-17 13:29:00,0.001951654798114214
period1,sc01,t0026,TotalGCost,2024-09-17 13:29:00,5.54284181101094e-05
period1,sc01,t0026,TotalECost,2024-09-17 13:29:00,0.0
period1,sc01,t0026,TotalCCost,2024-09-17 13:29:00,0.0
period1,sc01,t0026,TotalRCost,2024-09-17 13:29:00,-0.0
period1,sc01,t0027,TotalMCost,2024-09-17 14:29:00,0.002951875
period1,sc01,t0027,TotalGCost,2024-09-17 14:29:00,5.51271571501094e-05
period1,sc01,t0027,TotalECost,2024-09-17 14:29:00,0.0
period1,sc01,t0027,TotalCCost,2024-09-17 14:29:00,0.0
period1,sc01,t0027,TotalRCost,2024-09-17 14:29:00,-0.0
period1,sc01,t0028,TotalMCost,2024-09-17 15:29:00,0.0028275
period1,sc01,t0028,TotalGCost,2024-09-17 15:29:00,5.45246352301094e-05
period1,sc01,t0028,TotalECost,2024-09-17 15:29:00,0.0
period1,sc01,t0028,TotalCCost,2024-09-17 15:29:00,0.0
period1,sc01,t0028,TotalRCost,2024-09-17 15:29:00,-0.0
period1,sc01,t0029,TotalMCost,2024-09-17 16:29:00,0.0028562500000000003
period1,sc01,t0029,TotalGCost,2024-09-17 16:29:00,5.39221133101094e-05
period1,sc01,t0029,TotalECost,2024-09-17 16:29:00,0.0
period1,sc01,t0029,TotalCCost,2024-09-17 16:29:00,0.0
period1,sc01,t0029,TotalRCost,2024-09-17 16:29:00,-0.0
period1,sc01,t0030,TotalMCost,2024-09-17 17:29:00,0.00018819087744066716
period1,sc01,t0030,TotalGCost,2024-09-17 17:29:00,5.3470221870109404e-05
period1,sc01,t0030,TotalECost,2024-09-17 17:29:00,0.0
period1,sc01,t0030,TotalCCost,2024-09-17 17:29:00,0.0
period1,sc01,t0030,TotalRCost,2024-09-17 17:29:00,-0.0
period1,sc01,t0031,TotalMCost,2024-09-17 18:29:00,0.0
period1,sc01,t0031,TotalGCost,2024-09-17 18:29:00,5.32442761501094e-05
period1,sc01,t0031,TotalECost,2024-09-17 18:29:00,0.0
period1,sc01,t0031,TotalCCost,2024-09-17 18:29:00,0.0
period1,sc01,t0031,TotalRCost,2024-09-17 18:29:00,-0.0
period1,sc01,t0032,TotalMCost,2024-09-17 19:29:00,0.0
period1,sc01,t0032,TotalGCost,2024-09-17 19:29:00,5.32442761501094e-05
period1,sc01,t0032,TotalECost,2024-09-17 19:29:00,0.0
period1,sc01,t0032,TotalCCost,2024-09-17 19:29:00,0.0
period1,sc01,t0032,TotalRCost,2024-09-17 19:29:00,-0.0
period1,sc01,t0033,TotalMCost,2024-09-17 20:29:00,0.0
period1,sc01,t0033,TotalGCost,2024-09-17 20:29:00,5.35455371101094e-05
period1,sc01,t0033,TotalECost,2024-09-17 20:29:00,0.0
period1,sc01,t0033,TotalCCost,2024-09-17 20:29:00,0.0
period1,sc01,t0033,TotalRCost,2024-09-17 20:29:00,-0.0
period1,sc01,t0034,TotalMCost,2024-09-17 21:29:00,0.0
period1,sc01,t0034,TotalGCost,2024-09-17 21:29:00,5.3470221870109404e-05
period1,sc01,t0034,TotalECost,2024-09-17 21:29:00,0.0
period1,sc01,t0034,TotalCCost,2024-09-17 21:29:00,0.0
period1,sc01,t0034,TotalRCost,2024-09-17 21:29:00,-0.0
period1,sc01,t0035,TotalMCost,2024-09-17 22:29:00,0.0
period1,sc01,t0035,TotalGCost,2024-09-17 22:29:00,5.51271571501094e-05
period1,sc01,t0035,TotalECost,2024-09-17 22:29:00,0.0
period1,sc01,t0035,TotalCCost,2024-09-17 22:29:00,0.0
period1,sc01,t0035,TotalRCost,2024-09-17 22:29:00,-0.0
period1,sc01,t0036,TotalMCost,2024-09-17 23:29:00,-0.00032029652715031073
period1,sc01,t0036,TotalGCost,2024-09-17 23:29:00,5.92694953501094e-05
period1,sc01,t0036,TotalECost,2024-09-17 23:29:00,0.0
period1,sc01,t0036,TotalCCost,2024-09-17 23:29:00,0.0
period1,sc01,t0036,TotalRCost,2024-09-17 23:29:00,-0.0
period1,sc01,t0037,TotalMCost,2024-09-18 00:29:00,-0.0005795412018919367
period1,sc01,t0037,TotalGCost,2024-09-18 00:29:00,6.22067897101094e-05
period1,sc01,t0037,TotalECost,2024-09-18 00:29:00,0.0
period1,sc01,t0037,TotalCCost,2024-09-18 00:29:00,0.0
period1,sc01,t0037,TotalRCost,2024-09-18 00:29:00,-0.0
period1,sc01,t0038,TotalMCost,2024-09-18 01:29:00,-0.0006418406202098376
period1,sc01,t0038,TotalGCost,2024-09-18 01:29:00,6.37884097501094e-05
period1,sc01,t0038,TotalECost,2024-09-18 01:29:00,0.0
period1,sc01,t0038,TotalCCost,2024-09-18 01:29:00,0.0
period1,sc01,t0038,TotalRCost,2024-09-18 01:29:00,-0.0
period1,sc01,t0039,TotalMCost,2024-09-18 02:29:00,0.0
period1,sc01,t0039,TotalGCost,2024-09-18 02:29:00,6.52947145501094e-05
period1,sc01,t0039,TotalECost,2024-09-18 02:29:00,0.0
period1,sc01,t0039,TotalCCost,2024-09-18 02:29:00,0.0
period1,sc01,t0039,TotalRCost,2024-09-18 02:29:00,-0.0
period1,sc01,t0040,TotalMCost,2024-09-18 03:29:00,-0.000934576591615889
period1,sc01,t0040,TotalGCost,2024-09-18 03:29:00,6.642444315010941e-05
period1,sc01,t0040,TotalECost,2024-09-18 03:29:00,0.0
period1,sc01,t0040,TotalCCost,2024-09-18 03:29:00,0.0
period1,sc01,t0040,TotalRCost,2024-09-18 03:29:00,-0.0
period1,sc01,t0041,TotalMCost,2024-09-18 04:29:00,-0.001099518258786399
period1,sc01,t0041,TotalGCost,2024-09-18 04:29:00,6.740354127010941e-05
period1,sc01,t0041,TotalECost,2024-09-18 04:29:00,0.0
period1,sc01,t0041,TotalCCost,2024-09-18 04:29:00,0.0
period1,sc01,t0041,TotalRCost,2024-09-18 04:29:00,-0.0
period1,sc01,t0042,TotalMCost,2024-09-18 05:29:00,-0.0016664425132890068
period1,sc01,t0042,TotalGCost,2024-09-18 05:29:00,6.81566936701094e-05
period1,sc01,t0042,TotalECost,2024-09-18 05:29:00,0.0
period1,sc01,t0042,TotalCCost,2024-09-18 05:29:00,0.0
period1,sc01,t0042,TotalRCost,2024-09-18 05:29:00,-0.0
period1,sc01,t0043,TotalMCost,2024-09-18 06:29:00,-0.0010551458496044432
period1,sc01,t0043,TotalGCost,2024-09-18 06:29:00,6.657507363010941e-05
period1,sc01,t0043,TotalECost,2024-09-18 06:29:00,0.0
period1,sc01,t0043,TotalCCost,2024-09-18 06:29:00,0.0
period1,sc01,t0043,TotalRCost,2024-09-18 06:29:00,-0.0
period1,sc01,t0044,TotalMCost,2024-09-18 07:29:00,-0.0008593335940624467
period1,sc01,t0044,TotalGCost,2024-09-18 07:29:00,6.469219263010941e-05
period1,sc01,t0044,TotalECost,2024-09-18 07:29:00,0.0
period1,sc01,t0044,TotalCCost,2024-09-18 07:29:00,0.0
period1,sc01,t0044,TotalRCost,2024-09-18 07:29:00,-0.0
period1,sc01,t0045,TotalMCost,2024-09-18 08:29:00,-0.0006737929682721758
period1,sc01,t0045,TotalGCost,2024-09-18 08:29:00,6.27339963901094e-05
period1,sc01,t0045,TotalECost,2024-09-18 08:29:00,0.0
period1,sc01,t0045,TotalCCost,2024-09-18 08:29:00,0.0
period1,sc01,t0045,TotalRCost,2024-09-18 08:29:00,-0.0
period1,sc01,t0046,TotalMCost,2024-09-18 09:29:00,-0.00040267727299107825
period1,sc01,t0046,TotalGCost,2024-09-18 09:29:00,5.99473325101094e-05
period1,sc01,t0046,TotalECost,2024-09-18 09:29:00,0.0
period1,sc01,t0046,TotalCCost,2024-09-18 09:29:00,0.0
period1,sc01,t0046,TotalRCost,2024-09-18 09:29:00,-0.0
period1,sc01,t0047,TotalMCost,2024-09-18 10:29:00,-0.00011960985664366208
