Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,Date,MW
period1,sc01,t0022,Node3,Node4,p1,2024-09-17 09:29:00,0.22
period1,sc01,t0023,Node2,Node3,p1,2024-09-17 10:29:00,0.14012792459181964
period1,sc01,t0023,Node2,Node4,p1,2024-09-17 10:29:00,-0.0
period1,sc01,t0023,Node3,Node4,p1,2024-09-17 10:29:00,0.129999999999999
period1,sc01,t0024,Node2,Node3,p1,2024-09-17 11:29:00,0.14012792459181972
period1,sc01,t0024,Node2,Node4,p1,2024-09-17 11:29:00,-0.0
period1,sc01,t0024,Node3,Node4,p1,2024-09-17 11:29:00,0.09
period1,sc01,t0025,Node2,Node3,p1,2024-09-17 12:29:00,0.14012792459181972
period1,sc01,t0025,Node2,Node4,p1,2024-09-17 12:29:00,-0.0
period1,sc01,t0025,Node3,Node4,p1,2024-09-17 12:29:00,0.14012792459181972
period1,sc01,t0026,Node2,Node3,p1,2024-09-17 13:29:00,0.14012792459181972
period1,sc01,t0026,Node2,Node4,p1,2024-09-17 13:29:00,-0.0
period1,sc01,t0026,Node3,Node4,p1,2024-09-17 13:29:00,0.14012792459181972
period1,sc01,t0027,Node2,Node3,p1,2024-09-17 14:29:00,0.14012792459181972
period1,sc01,t0027,Node2,Node4,p1,2024-09-17 14:29:00,-0.0
period1,sc01,t0027,Node3,Node4,p1,2024-09-17 14:29:00,0.14012792459181972
period1,sc01,t0028,Node2,Node3,p1,2024-09-17 15:29:00,0.14012792459181972
period1,sc01,t0028,Node2,Node4,p1,2024-09-17 15:29:00,-0.0
period1,sc01,t0028,Node3,Node4,p1,2024-09-17 15:29:00,0.14012792459181972
period1,sc01,t0029,Node2,Node3,p1,2024-09-17 16:29:00,0.14012792459181972
period1,sc01,t0029,Node2,Node4,p1,2024-09-17 16:29:00,-0.0
period1,sc01,t0029,Node3,Node4,p1,2024-09-17 16:29:00,0.14012792459181972
period1,sc01,t0030,Node2,Node3,p1,2024-09-17 17:29:00,0.14012792459181972
period1,sc01,t0030,Node2,Node4,p1,2024-09-17 17:29:00,-0.0
period1,sc01,t0030,Node3,Node4,p1,2024-09-17 17:29:00,0.14012792459181972
period1,sc01,t0031,Node2,Node3,p1,2024-09-17 18:29:00,0.14012792459181972
period1,sc01,t0031,Node2,Node4,p1,2024-09-17 18:29:00,-0.0
period1,sc01,t0031,Node3,Node4,p1,2024-09-17 18:29:00,0.14012792459181972
period1,sc01,t0032,Node2,Node3,p1,2024-09-17 19:29:00,0.14012792459181972
period1,sc01,t0032,Node2,Node4,p1,2024-09-17 19:29:00,-0.0
period1,sc01,t0032,Node3,Node4,p1,2024-09-17 19:29:00,0.14012792459181972
period1,sc01,t0033,Node2,Node3,p1,2024-09-17 20:29:00,0.14012792459181972
period1,sc01,t0033,Node2,Node4,p1,2024-09-17 20:29:00,-0.0
period1,sc01,t0033,Node3,Node4,p1,2024-09-17 20:29:00,0.14012792459181972
period1,sc01,t0034,Node2,Node3,p1,2024-09-17 21:29:00,0.14012792459181972
period1,sc01,t0034,Node2,Node4,p1,2024-09-17 21:29:00,-0.0
period1,sc01,t0034,Node3,Node4,p1,2024-09-17 21:29:00,0.14012792459181972
period1,sc01,t0035,Node2,Node3,p1,2024-09-17 22:29:00,0.14012792459181972
period1,sc01,t0035,Node2,Node4,p1,2024-09-17 22:29:00,-0.0
period1,sc01,t0035,Node3,Node4,p1,2024-09-17 22:29:00,0.14012792459181972
period1,sc01,t0036,Node2,Node3,p1,2024-09-17 23:29:00,0.14012792459181972
period1,sc01,t0036,Node2,Node4,p1,2024-09-17 23:29:00,-0.0
period1,sc01,t0036,Node3,Node4,p1,2024-09-17 23:29:00,0.14012792459181972
period1,sc01,t0037,Node2,Node3,p1,2024-09-18 00:29:00,0.14012792459181972
