,,,SolarPV_01,Wind_01,BESS_01,AEL_01,PEMEL_01
period1,sc01,t0090, 1.01960403375 , 7.30485436893204 ,,,
period1,sc01,t0091, 2.24811391666667E-04 , 6.91932038834952 ,,,
period1,sc01,t0092, 0.0000092537375 , 6.14825242718447 ,,,
period1,sc01,t0093, 0.000004173255 , 5.39747572815534 ,,,
period1,sc01,t0094, 3.26602583333333E-06 , 5.11339805825243 ,,,
period1,sc01,t0095, 0.000004173255 , 5.0931067961165 ,,,
period1,sc01,t0096, 4.26397666666667E-06 , 5.0931067961165 ,,,
period1,sc01,t0097, 3.53819333333333E-06 , 5.15398058252427 ,,,
period1,sc01,t0098, 3.35674833333333E-06 , 5.51922330097087 ,,,
period1,sc01,t0099, 3.99180916666667E-06 , 5.86417475728155 ,,,
period1,sc01,t0100, 4.26397666666667E-06 , 5.66126213592233 ,,,
period1,sc01,t0101, 0.00000498976 , 5.39747572815534 ,,,
period1,sc01,t0102, 7.43927916666667E-06 , 5.17427184466019 ,,,
period1,sc01,t0103, 2.13198866666667E-05 , 5.03223300970874 ,,,
period1,sc01,t0104, 0.000020049765 , 4.7278640776699 ,,,
period1,sc01,t0105, 0.000020049765 , 4.34233009708738 ,,,
period1,sc01,t0106, 1.890388913 , 2.92194174757282 ,,,
period1,sc01,t0107, 4.7784749975 , 2.31320388349515 ,,,
period1,sc01,t0108, 6.4628729875 , 1.96825242718447 ,,,
period1,sc01,t0109, 7.2568654525 , 1.62330097087379 ,,,
period1,sc01,t0110, 7.5025032 , 1.46097087378641 ,,,
period1,sc01,t0111, 7.2070721775 , 1.44067961165049 ,,,
period1,sc01,t0112, 6.20380099 , 1.25805825242718 ,,,
period1,sc01,t0113, 3.928472925 , 0.87252427184466 ,,,
period1,sc01,t0114, 0.94118404975 , 0.60873786407767 ,,,
period1,sc01,t0115, 1.80810775833333E-04 , 0.568155339805825 ,,,
period1,sc01,t0116, 6.71349583333333E-06 , 0.852233009708738 ,,,
period1,sc01,t0117, 5.62482166666667E-06 , 1.37980582524272 ,,,
period1,sc01,t0118, 3.35674833333333E-06 , 1.84650485436893 ,,,
period1,sc01,t0119, 3.99180916666667E-06 , 2.11029126213592 ,,,
period1,sc01,t0120, 3.44747166666667E-06 , 2.15087378640777 ,,,
period1,sc01,t0121, 5.53409833333333E-06 , 2.02912621359223 ,,,
period1,sc01,t0122, 5.35265333333333E-06 , 1.82621359223301 ,,,
